,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
mordred_ATSC5i,-0.004838903851492542,-0.05788544396122104,0.07133459402521755,0.002989378794014765,0.03543818277382971,0.008237479244815979,0.02471683651967371,0.02344109115990964,-0.026164384012997147,0.06524567251014861,-0.00831712075624594,0.06339650964832858,-0.03673761151276958,-0.08497382874969658,0.0008029473004437512,0.04214291622885403,0.0001900017113907632,-0.01574554089612326,0.0692896338428272,0.032483575153661154,0.028011035902918754,0.001866009049364119,0.03892031969129076,-0.0031991146586189123,-0.08244027395409387,0.05312034829016203,-0.056448524373404876,0.016268743739899266,-0.008941194633436417,0.042648788689398046,0.02214483781124092,-0.0723897816920501,-0.0036877098709877654,0.006490351389534692,0.00991613284536544,0.013524817472864738,-0.027375083887548255,0.04077590145431949,0.021718664441371698,-0.04863199724004504,-0.01619296632126232,0.060077870768404366,-0.03621588977945978,-0.03159895485266245,0.023298876088814775,-0.01594819394229646,0.023228942696041418,-0.04014819350315229,-0.0490784669968023,-0.022376885709054436,0.0727848395067587
mordred_ATSC6i,-0.013338575986021227,0.05170125817002305,-0.0380878956850531,0.019661632045141365,-0.02161322706315022,-0.04843919961787604,0.023992470165327053,-0.026810169030372644,0.07650682323668101,-0.037934275135348965,-0.03153495187581339,-0.0375818882658387,0.08113986094049096,0.003673429535029871,0.1054905551815732,-0.08800093191937489,-0.058333692551038284,-0.021909100093618766,-0.03472424138674147,-0.009587913980685507,0.06480818304153314,-0.059815013888592186,-0.054416310531142605,0.08264353638861595,0.08673568695718165,0.024235031754604248,-0.0018022868124000489,-0.02263602130291406,0.1306752038038068,0.0730476502998617,-0.08354674872515196,0.06267237589713648,-0.01262597475720136,0.1401045680549534,-0.014798943831182985,-0.054036975052552706,-0.07157381157108957,0.028102924845401802,-0.01451242292651584,0.020806263031816714,0.037742984498389975,-0.04802329665631497,0.07078265524822415,0.00925207716829998,-0.0034807736359207804,0.023268850518766027,-0.005354550339692836,0.01175768625801666,0.000415577706820336,-0.00010805574834059989,-0.016336233261679434
mordred_ATSC7i,-0.050071980870147956,-0.036654638910269315,-0.01996897561544888,-0.036604752766086664,0.06943417171329976,0.01844085313804978,0.013038321812921317,0.028559060205497654,0.08046176886092983,0.05689596525042057,0.01305285702074524,0.020683854816523347,0.06572559413525288,-0.05307077843956594,-0.05402263181162759,0.07543324007541177,0.006175178773571097,-0.02350113164188332,0.06863558734585859,-0.08889883485071824,-0.035051458321958565,0.022409407466415423,0.018566537564509364,0.010609126567956541,-0.008029546621020015,0.02608034452283235,-0.0009202978656778725,0.017949495447333774,-0.04002466617530951,0.039984049088453086,-0.030046200960981734,-0.007056513349781744,0.011415929339962393,0.003567395664172963,0.0007268578663659884,-0.08751037882291898,0.11619069156059438,-0.015026622828893313,-0.05133616864695104,0.046568537862904526,-0.053022068101185246,0.03228350662810915,0.033528787873167695,-0.03599808848080503,-0.060466429197549285,-0.13165263975677516,0.0022949855229074108,-0.005602576300993197,-0.03467883044519503,0.0036701892330638823,0.04304460615435425
mordred_ATSC8i,-0.037304804573123046,0.00400547018629744,0.08366676994138356,0.05514385836872713,0.0358803601597778,-0.004913619026945655,-0.023468242223796752,0.009549267338315274,0.016098202461074552,-0.05399576622429485,-0.008742682745677145,-0.007571877909259742,-0.04198707524646399,-0.0399649122867427,-0.0032626638410928567,0.05691398611640479,0.027806555412916573,-0.0220561865273664,0.026340516956013277,-0.02238039145902691,-0.04665922241324933,0.05615013790351407,-0.03421684203006459,-0.03528551401247861,-0.05206217303004712,-0.017481626075924076,-0.046100370208774076,-0.003481254664151091,0.054079130911453756,-0.021421619355743583,-0.03279761242612921,0.060249993406083203,0.06164081629134575,-0.0737135922808571,0.046660748123129925,0.03561185079150596,-0.008136193719304593,-0.001269065904053991,-0.049060458689528554,-0.027087696275644634,0.05419787255498004,-0.017361788322117558,-0.03868948483724448,0.013630279869385873,0.003765640537319497,0.007005552357680719,-0.04827827027258545,-0.017695625457513256,0.02109001346358612,-0.021054159024530714,-0.033431630942466206
mordred_AATSC0c,0.020520561901423828,0.05949090865052195,0.03741943822782109,-0.03300138852248145,0.04812861944747416,-0.0624825702962177,-0.02298583853984809,0.07249674132848809,0.009424540611946596,0.004272532324962981,-0.02879326135205424,0.05997862772043506,-0.03582757154759419,0.10210131770608319,0.028807374448449687,-0.008604252579354522,0.06132587287293862,-0.051723668619761125,-0.044761088691269775,-0.05370827385106855,-0.014602926577608153,0.02498768679102959,0.0011990366930425401,0.04592550636304704,0.03525693451134137,0.015721031399011563,-0.047070471927672185,-0.00639361848412407,-0.032204466055076486,0.035103753576030836,-0.05267411421488521,-0.04140413021894053,0.02210365920274734,-0.01635902031297219,-0.020540770376303186,-0.02008049200323005,-0.039752230959282625,-0.0029978659908586986,0.023865378356893646,-0.038445401059969096,-0.03520608118798775,0.009541022286937581,0.027034739096476492,-0.04581613187283403,0.02243194011694007,0.004903823829945464,0.002192406227489065,-0.014059365146977768,-0.007308699037408741,-0.0006003499468177415,-0.016950610507531473
mordred_AATSC1c,-0.008029710022983114,-0.02998108538982007,0.003031351950448406,0.004632216123649586,0.09035726865606192,-0.1194280862561084,-0.05317724457871745,-0.04927060827905992,-0.08366856060549382,-0.046348312336376325,-0.04735699839272497,0.01188138989309989,-0.0005447865947599287,-0.004697630610373148,0.023362201435260976,0.0724073925197745,0.007558148602186471,0.04758606066774763,-0.004670219323142358,0.03888505647584393,0.04440429257337377,0.021222988480452728,0.07130566039549689,0.00781892177262468,0.07257187198908459,-0.00249544548593503,0.04324733189042039,0.01355893702125453,0.01825085152018603,0.01571687627402705,-0.0006428561198605147,-0.01878085180689196,-0.021219753112302363,0.01101053304522731,-0.0036341940065742237,-0.01183154298316708,0.03204067853263668,-0.007143450563884995,-0.025751794020591506,0.010312551118329318,0.05201401137271864,-0.01693172675184525,0.0065316518946192765,-0.015960184343334394,-0.04296747166491828,0.01222891618806189,0.018575141596853785,0.013440347573516292,-0.06249634311969034,0.015888305031597334,0.02389325217185166
mordred_AATSC0dv,0.0700763256516344,0.0633877941432559,0.01734028444780485,-0.03756315614799876,0.004194197858764071,-0.022223716743710435,0.013590903823004331,0.019431383456731656,-0.012346206097058087,-0.021846252908802676,-0.014128270367424794,-0.0021014218095840352,-0.03580756498317082,0.007244838862114167,-0.01301911997174833,0.003344693328653761,0.02506458638457465,-0.02824142998718039,-0.016725820797929728,-0.008271575531494406,-0.014293424595868775,-0.02411673653652465,-0.020417625159337364,0.028072682900310553,-0.0031692325654397364,0.014648839241412612,0.0010969034015232144,-0.0037381580509366266,0.007952942160418057,-0.00032372773369674653,0.00462054914493652,-0.00717213576068255,-0.005164971022145107,0.03198848201238163,0.0016375116077124853,0.0056853356478506496,0.009693218176352365,-0.011466769861072415,0.0022928911587339483,0.006622865615649124,-0.01320128714796953,0.024681150168253178,-0.012992713621711682,-0.036664284740968084,-0.005409442139960273,0.00718030481241698,-0.02248070571613834,-0.003930700656335557,-0.02078450448248752,-0.0056704173506977335,0.008851047766790092
mordred_AATSC1dv,0.033311778826577695,-0.06445453750411406,0.03492498302813277,-0.04695862982130019,-0.018844636200592645,-0.06356291876233978,0.01024162035642425,0.02436517861897315,0.03813497917382863,-0.007506890636541497,-0.10178717113588522,-0.006385813700523866,0.007452759001982768,-0.04674476532048996,-0.03253870823843988,-0.05352167295715081,0.001672614116856004,0.025037805062083977,0.017460506056299594,-0.025619245199086687,-0.008192960858442329,0.024409730449788936,0.00905383897981016,-0.011475667834134451,0.004875326283389875,-0.03611630082027435,-0.04147802097665788,-0.0495085937081659,-0.023852765068390694,0.012019400548582524,0.05024318582986808,-0.0024049783587112056,-0.015273036803637209,0.04265008513633954,-0.01654279683371658,0.034483628805003746,0.013080103871526402,-0.011790476171237735,0.012245505293572538,0.01866539421311132,-0.03494976513093521,-0.007904853319586342,-0.0003898829343084083,0.00154286390695801,-0.0043096740256761915,0.02554081190831471,-0.05686671417883824,0.0204215597199864,0.004377675879687653,0.004762271141633726,-0.01795437225585861
mordred_AATSC0d,0.0733285553148248,0.04025222250477032,-0.006593234514638423,0.0008374728687846114,0.06660476052589032,-0.02918966718361913,0.038979627563782815,-0.013486735923819855,-0.0033390437261465377,-0.05671582750646006,-0.02723698984449573,-0.009600443258276614,-0.024938081801824222,-0.006477507433056135,-0.009482289170660376,-0.041831777923197075,-0.037581840049558835,0.05067944761245294,0.04170017513275578,-0.0017269315453458172,0.0432180807235358,-0.012930269939986873,0.024240420746629143,-0.004581968131362773,-0.0045357556825509834,0.0035083560409168084,0.0030223780309312077,0.0010850917063315315,-0.017007769518218092,0.002257850330829914,0.008353258288454376,0.0016827203611085937,0.003350568050596243,-0.0013592511026894174,0.02525685836627367,-0.009994211567509102,0.03038878913337778,-0.01645559560592516,0.006671902084070677,-0.0008831231596761334,-0.0070993595112596695,0.016770388644790205,-0.011881799750157403,-0.021239187074055203,-0.0034764527115831805,0.00722584260808752,-0.01609281665380982,-0.011683676060998514,-0.003743542831913749,0.005699641719327818,-0.0045711452903044935
mordred_AATSC1d,0.01563754005971953,-0.06498757286914747,0.054251575589307564,0.029394644371201647,-0.05701113269832773,0.05534611120068224,0.012437467278383066,0.020844565032207895,0.033091478250944134,-0.02934086277179551,-0.08617737128886958,-0.006648062943501545,-0.0429217584849013,0.005917527693390584,0.01590490065393515,0.021234334273382564,0.011821438684004905,-0.002719549015509008,0.004873314674328927,-0.06655049246828719,0.02450811806862142,-0.014324682028399555,0.029259888211676206,0.04374699224860965,-0.0186226832526407,-0.02795392440987645,-0.04275521815766239,0.0014746364404139493,-0.022100429836336206,0.03131857018424517,0.041570803729358834,0.0007842163163578713,0.020372666815825412,0.03490282219438843,0.041034787797839305,0.019857685043849358,0.009006314812176067,-0.03056452941658516,-0.00916925287898229,0.006832445259737911,0.007729064700030951,-0.0523442477047856,-0.019339925787929944,-0.015034277595326747,0.02035754039181094,0.01810407288666246,0.015399492565996301,-0.047586341903281044,0.0022630353040478815,-0.005668404069043822,0.023654378074155626
mordred_AATSC6d,-0.002778384593767105,-0.013633252221320252,-0.03349480040774649,-0.05103335724302894,0.06620819641661997,-0.039753643354185235,-0.0803358399304337,0.010752781928089318,0.09892179513865663,0.0015619840476787336,0.022586663876138363,-0.1363570272632627,-0.012928114043215014,0.006670868756161021,-0.053958503727985066,-0.021710705647210397,0.02823237522542129,0.05660205744361883,0.008240598204848609,0.00824324569362765,-0.05558639289634682,-0.08584341889683905,-0.003490633615622352,0.027080139689844917,0.06656449905863344,0.04501524593203823,-0.033937687930684746,-0.03689990094103229,0.07569033176764968,-0.022121680213837345,-0.006885765668659565,0.0638914341594444,-0.0152889372905869,-0.0012005382405256605,-0.059222076124553547,-0.057171902571131854,0.019022990467115468,-0.04188510804312017,-0.09053581236106659,-0.05306970447882365,0.03657660287294965,-0.036915485858147995,-0.06128274258677748,-0.02888916999355663,0.047171498021908925,0.06805594278415558,0.018441918701524822,-0.03855355346908595,-0.0804108419761689,-0.00043692409114216564,0.10202101416713417
mordred_AATSC0Z,-0.011295205150477886,0.07226303414056366,-0.0022710416962389624,0.09341535703358941,-0.02052824733767577,-0.03884834570562321,0.010321523792055122,-0.0024467706343259087,-0.010469224147290719,0.04267300479186574,-0.06750970620862208,-0.037305099671824465,-0.020293330624652623,0.012979735453930137,-0.01341763738611061,0.015815578782078003,-0.012353096115755075,-0.005166367317378679,0.02853407422864527,0.0032561089407750613,-0.04517547854771359,0.022220055423505063,0.0059235983536987955,-0.009252545614465646,0.006340455127790773,-8.570285109159938e-05,0.03135003184618489,0.05869410569690336,-0.007393076131323466,-0.018429859379899854,0.014789329335579682,0.007461096014749258,0.005977157856859972,0.006715475162150748,-0.01561121240400029,0.013449776142895366,-0.007511762488756115,0.04653345498095941,-0.01903505364459523,-0.017484775042641294,0.007926505073025246,0.006316843520332053,0.007462847232586902,-0.007542669971292359,0.0022400061565757963,-0.005304372544279264,-0.020184438572460318,-0.008241195246860736,-0.004924284604994636,-0.0021297261143624338,0.024564814245595337
mordred_AATSC0v,-0.06169286000055455,-0.02391040594209514,-0.027391981908276714,0.09220444278647595,-0.017539047259481255,-0.03417045520363331,-0.03792210431555459,-0.02060314116651088,-0.01559670608720078,0.040480221119581786,-0.058684263304823674,-0.015261813506679565,0.0033998981782869687,-0.011095093603078839,-0.008410715375031087,0.014863582300404422,-0.003952803882735883,0.02528839864612188,-0.0033430721610678313,0.018834479238714594,-0.006292369790563589,-0.006212779989043718,0.0018537899776058344,0.0021549689603445107,-0.01183061214516162,-0.007768308940472175,-0.010318877280777152,-0.014470738773388243,-0.010527853020296912,0.013370360913734442,0.02161401176260158,0.01485403375711534,-0.004945898867033778,-0.004932124936201745,0.0007846192857975694,0.013987637031422364,0.011163205442057813,0.00041122070683526963,-0.016058018874400188,0.013081417608279125,-0.0014306533882610208,-0.0061089535549200946,-0.009414421112224219,0.015718561929381456,-0.004136894542947465,0.0011350169335351615,-0.02141843092997979,0.0011835048697731443,-0.016345125579621953,0.001092712530448003,0.014486389862802965
mordred_MATS1c,0.006020916420983768,0.015043229180071806,0.025484728778985388,-0.020109227333136755,0.0869574356992319,-0.12731732148451952,-0.05766133915863872,0.012354039872728248,-0.05490488766481413,-0.03596598442977459,-0.049048342384651826,0.054230507758907136,-0.02746496444843619,0.06680536288752253,0.031886527971081866,0.06153940284152485,0.05112738855104027,0.006676938907203432,-0.02911573041924379,-0.006692924193675365,0.02588615093652726,0.01913234253073123,0.05542343339567027,0.042100681846221726,0.07934475998954868,0.0070589708487662365,0.020336625382797065,0.009637389627695158,0.004571578166550522,0.03278760673215633,-0.047458719822480275,-0.035034631309026135,-0.005592208144513021,-0.002142117458981188,-0.0130201325172808,-0.021191862560006484,0.010185200728394642,-0.006233770946861115,0.0006157307602815183,-0.019407245773386875,0.038721883891156585,-0.011144824790317141,0.005864736568646823,-0.02313175386927192,-0.024596209205603826,-0.013848807627979118,0.018742695640143837,0.00976032063427193,-0.008289301980558213,0.02868888924993271,-0.03160946702706206
mordred_MATS1dv,-0.0005395683870407072,-0.08789276945016496,0.023153106932253826,-0.025174672887838246,-0.02211548712745048,-0.04888133057556094,0.0033890775971885836,0.01257415387208592,0.041014831321852095,0.006068449078951584,-0.08458559422945369,-0.007901089094563196,0.021908155091417674,-0.048771956961662685,-0.023972448616060727,-0.05054794966907653,-0.015442973971897504,0.03926369014641735,0.022878694131507737,-0.019135414751039036,0.0007158417468507253,0.030538284773266377,0.024831584200359063,-0.020730197923528624,0.006028772925834946,-0.03780444615259952,-0.03607506501647107,-0.04278697977489214,-0.025690089976155087,0.009662901882502623,0.0466904316174075,-0.0035404323428690583,-0.016922150971434256,0.02901345296136712,-0.01478392220623353,0.031053636399794797,0.012698881969903604,-0.00911303262581213,0.01310388535972305,0.011783671061962386,-0.023988779786344172,-0.02187194495861375,0.02651666548924674,0.025513895204033295,0.01591461167256029,0.02981037914531998,-0.013981989133789046,0.017768846931902456,0.015093203281256158,0.013614108889763303,-0.0103414388555913
mordred_MATS1d,-0.015027415040535204,-0.07089841123873154,0.04944624240666787,0.02378711771219213,-0.0757291079607006,0.05591904987881836,-0.0039044165959890857,0.022441220269920313,0.028475940270458848,-0.0009399734130062287,-0.061923300613304894,-0.001882116321710686,-0.024051034702550534,0.01062939748115894,0.017847460944694485,0.03370041617671873,0.023371543230012806,-0.015913802537873674,-0.010341258421319778,-0.04946944263165624,0.0020843997789789363,-0.009759188913904959,0.014234416745492222,0.03817640940967758,-0.015706741354564065,-0.028685105475635044,-0.03738954223126725,-0.0032988549566946137,-0.01586672759105168,0.024118268124985104,0.027279246068885512,-0.0011427790402282066,0.01961806168583676,0.034070116782612535,0.0215269969500266,0.02474531033719815,-0.001963059135256698,-0.01859670534903897,-0.003224783501111923,0.0005857029824138507,0.014795365799467998,-0.05081847022699779,0.004813793115504326,-0.02359544299625966,0.012959879547244545,0.017508581415176038,0.0194963082468098,-0.03674224830810242,0.006602739994528893,0.01902463832317522,0.00938208127112989
