,PC1,PC2,PC3
rdkit_NOCount,6.8312401770948185e-09,-1.8604719321156217e-06,1.3309834046751808e-05
rdkit_NumAliphaticCarbocycles,1.8605675353993136e-09,-6.848439294953555e-07,1.739861993528448e-06
rdkit_NumAliphaticHeterocycles,-3.8273638387262426e-10,2.087598628187211e-06,4.449492162817106e-05
rdkit_NumHAcceptors,6.1800562688596835e-09,1.3926906805862193e-06,2.1303939934425014e-05
rdkit_NumHeteroatoms,1.7794237627303995e-08,-5.5560744941211326e-06,2.2768984262895233e-05
rdkit_NumRotatableBonds,9.008617325318975e-09,5.434581445671095e-07,-4.2440734502037276e-05
rdkit_NumSaturatedHeterocycles,5.05347870358415e-10,4.953230948886048e-07,2.000193123597965e-05
rdkit_NumSaturatedRings,2.3659154057577278e-09,-1.8952083460675106e-07,2.1741793229508114e-05
rdkit_MolLogP,1.3065050578250574e-08,2.036477508270761e-06,2.0224701841820485e-05
rdkit_fr_NH0,1.1396504246051703e-08,7.714504710659257e-06,-9.348968867003278e-05
rdkit_fr_N_O,-1.5233652340331386e-09,-8.632638320817422e-06,-8.49060577053491e-06
rdkit_fr_Ndealkylation1,2.7910134520335447e-09,1.3139584924533437e-06,-2.974021788372923e-05
rdkit_fr_alkyl_halide,1.3018566348779596e-08,-1.6358060205805558e-07,-6.2195759330877395e-06
rdkit_fr_allylic_oxid,-1.6926232809715678e-10,1.5242324480557476e-07,2.259070785152401e-06
rdkit_fr_amide,-1.692623136267154e-10,1.5242312494124738e-07,2.275281586848062e-06
rdkit_fr_aniline,8.444959441440369e-10,1.1122516087896053e-06,-6.3633404492979136e-06
rdkit_fr_aryl_methyl,-2.1035651926793813e-08,7.774144962840328e-06,9.409979533411063e-05
rdkit_fr_bicyclic,5.495595977474921e-10,-1.2874292707047264e-06,-1.988545933896148e-05
rdkit_fr_ester,1.128418342235621e-09,3.9997290707480164e-08,1.5036666833756585e-06
rdkit_fr_ether,4.427680694055586e-09,5.806943231041464e-07,1.0395512702123098e-05
rdkit_fr_nitrile,-1.6926232831298777e-10,1.524456630055658e-07,-3.364590852581405e-06
rdkit_fr_para_hydroxylation,3.3852513197882193e-10,8.067626373421759e-07,1.6625446116266982e-06
rdkit_fr_piperzine,-3.385246286056948e-10,3.0484614826954937e-07,4.5917081306793756e-06
rdkit_fr_sulfide,-6.774202312430434e-10,6.094145381565234e-07,9.237937681898554e-06
rdkit_fr_sulfone,-3.388632101367589e-10,3.045914931618903e-07,4.608977668232387e-06
mordred_nBase,1.6923403573454049e-09,4.3013087347582027e-07,-1.7718524583365884e-05
mordred_SpAbs_A,1.244125645907386e-08,1.4365409683065074e-06,-5.8959309735838454e-05
mordred_SpMax_A,5.207475562992075e-09,1.1290028311969442e-06,-2.7454842684263693e-05
mordred_SpDiam_A,8.345422648221738e-09,1.8322128956857844e-06,-1.8004709164626317e-05
mordred_SpMAD_A,-6.137152238782377e-09,2.4306267791439997e-06,0.00015325291939098808
mordred_VE1_A,5.164931622944494e-09,2.1233116241448306e-07,4.2502228392601144e-05
mordred_VE2_A,-5.279001724538903e-09,-1.0781278272304259e-07,8.595831598848891e-05
mordred_VE3_A,1.5607039271732737e-08,4.929243727959222e-07,-6.30262550525422e-05
mordred_VR1_A,7.462108645053015e-09,9.269521628247731e-07,-0.00011504099174758225
mordred_nC,8.669386717572075e-09,2.981328327144554e-06,2.7865688647703388e-05
mordred_nO,3.9821141155818896e-09,-3.789098109780436e-06,3.668225621426002e-05
mordred_nS,-1.040277682851234e-09,-2.223544647450401e-06,1.892175943656467e-05
mordred_nCl,-1.6926232828335118e-10,1.524232603924296e-07,2.308611348843387e-06
mordred_ATS0dv,2.193509007212068e-08,-4.302434966366362e-06,1.7820828631360026e-05
mordred_ATS1dv,1.5864662187280482e-08,2.8678557590261936e-07,1.810286770210278e-05
mordred_ATS2dv,2.2967114978616574e-08,-1.4857796632367498e-07,3.3248980520799636e-05
mordred_ATS3dv,1.6671784560652235e-08,1.00360456661347e-06,2.9213641677488135e-05
mordred_ATS0s,1.5536429116785543e-08,-6.500265526895802e-06,5.80067439923834e-06
mordred_ATS1s,1.3574820842635906e-08,1.1317533214036513e-06,-4.3563726853806145e-08
mordred_ATS2s,4.049019982100545e-08,-3.080518834621458e-06,1.5469131244353114e-05
