,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
mordred_AMID_h,0.039383245548713176,0.06743504942544316,-0.015094322352134064,0.023251504008914643,0.02050885070748614,-0.0001383276514406676,0.0392395416334539,0.014075786516785111,0.011347951180430407,0.018705408994436828,-0.045368350417020836,-0.019418447970450378,0.05998227455857954,-0.019645315376085347,-0.006891480341023388,-0.025834820769970818,0.016620706043356383,-0.010617085581139543,-0.02841398230207329,-0.0029971352370627836,0.04836981782492071,0.023243025543276546,-0.010427740852727735,0.031227499494174894,-0.004456780305339508,0.0018899421614113404,-0.0119676273595562,0.031449217626704294,-0.01773172237999145,-0.011577130533486591,0.012628669632221253,0.01993292357862394,0.03208115345849304,-0.009534620356906992,-0.002888124120670043,0.008146572294228382,0.02371818577354527,0.010096329418133272,-0.01715105270736508,-0.0136012388045701,0.009124668533328733,0.008542684914331702,0.00415167223304278,-0.02332522185262962,0.0017367029452962396,0.000977375308093869,-0.005577094378671592,0.0027628600403153216,0.006931184696365561,0.006917939565112449,-0.007144614584609455,-0.044798906585709036
mordred_AMID_C,-0.05754282291345167,-0.04862134910381983,0.03539490914424305,-0.022885887542701093,-0.00893363657094358,0.007034611457870462,-0.01243512730285003,0.019699885236425338,0.002496527987321022,0.02431479121034676,-0.0255463598049588,-0.001460515351217694,0.07850507249286168,0.04550410982938883,-0.022750587287136307,0.0037310380914277173,-0.039296560908626335,-0.003733412123131066,-0.004579516474320098,0.005285068464324158,-0.0003944213547572036,-0.027032848638596695,0.02312429148138185,-0.01097985109532229,0.011564733479985207,0.009896921073671846,0.005776191330344491,0.0012412641175815037,0.02789330240626636,0.010706513816846036,-0.018209982210804623,-0.018687290578611834,-0.02448471624057544,-0.011593575779663199,-0.004587404680992377,-0.013117977315434555,-0.021494240234056383,-0.011674630647221634,0.021482828288099973,0.017130273483869578,0.009306497045846823,0.002536845819848206,-0.012841740067636736,0.022348660523721767,-0.0022580846042060993,0.011951575141460821,0.009488284640056029,-0.005947896283177981,0.011321127748765751,-0.016238953584010833,0.0009433129813730556,0.005077513398765271
mordred_AMID_N,0.01690251787501845,-0.06598700693606496,-0.023609908335417082,-0.01321988462906077,0.03692386040918641,0.008544452234432225,0.07000619511097309,-0.03047927279016792,-0.033831218851281646,-0.03882133171694061,-0.04609983048634156,-0.008034601346035768,0.07211607452605918,0.03474319022592393,0.02714934310954516,-0.027935863741725585,0.0025182829924043975,0.04738679718508321,-0.015725886902269507,0.09006053286671747,0.014705618223474921,0.03268459997912505,-0.02809759019645405,0.02840773909246575,0.03161657756121053,0.020065240328529924,-0.016398082614229117,0.04357775187022458,-0.0024004557412386886,-0.05169591420170514,0.029265017004999786,-0.006775465300374789,0.03259608074131355,0.01827224469130243,0.0032687655884215392,0.0011106180464999442,0.050684726331229994,0.027884939338850546,-0.05376575251637418,-0.01910354093121057,-0.0198044047744543,0.0017242124817535415,0.008964272503662121,-0.0003707928491760856,0.017811285656685896,0.008864301106326064,0.021620433937858542,0.009078242949558389,0.039713601053547994,-0.027381249208100502,0.010795105071755694,-0.07337674350751366
mordred_n4Ring,-0.0049459966269469755,-0.006146181878752767,0.08123775659600614,-0.024543228953180462,-0.0016194420713134428,0.026008655861424784,0.022607840488896847,-0.06542100792180643,-0.053617652871815226,0.02559636817414303,0.042899425116756505,0.045165103454676156,0.05564919009115244,-0.07380852285201332,-0.019188913253769705,-0.12783279146298265,0.10341340689894357,0.03975001183125192,0.1661882296204762,-0.07914390365276318,0.24192291228414342,-0.17327526533249102,-0.09980587475528548,-0.12547243986323928,-0.04217205528835667,0.04959641486413194,0.058017565921588875,-0.03520463966211307,-0.04326264126805686,-0.09076644470360937,-0.11147544333041726,-0.02197172078195921,-0.03246502822217131,0.01299389367311338,-0.04027974709292465,-0.10273661102561277,0.07806087916664046,-0.11532913681950482,0.012533835307132708,0.05001877245907384,0.03757111698884207,0.012335824004840757,0.03410271867227401,0.038382015721631906,-0.07291371362880139,-0.003025450561113308,-0.04883548202081717,0.018242188640292582,-0.0029062765477725523,-0.0686532302312474,0.000477988507048227,-0.0008048690627813336
mordred_n5Ring,-0.008948608525909658,-0.007953512565716397,0.02092647420501675,-0.0005039023750002194,0.016757815496853706,0.011752850639303843,-0.009159992172621253,0.009042753583609148,-0.01732518367147381,-0.007924217935273271,0.061875019341461834,-0.011932378151927929,0.03306409999219686,-0.018567118368384886,-0.035765764365114756,0.027347783221902098,-0.002728471405107546,-0.01417746950424589,-0.047609497528687754,0.014109577728119575,-0.0648295094173738,0.049766258218731985,0.02780767915569695,0.03146256808157166,0.05930945837081273,-0.03579134885559719,-0.02907567981773719,-0.0011293146183900856,-0.054431392694964185,0.0035178436810345552,0.05835515156171572,0.0882926821623932,-0.019395202808547493,-0.07091076669236801,0.16193905978660716,0.11041959207404033,-0.1926077990902078,0.3126668129054552,0.14548297586072975,-0.11460178371048446,-0.02891362025569681,0.032314846921804016,-0.012686784994534475,0.004319965225158243,0.05148346834341809,0.09969066426170796,0.01687747148369192,-0.0647881621155946,0.005998798535158798,0.059191934755222185,0.007621486644469226,-0.019802399294662605
mordred_n6Ring,-0.059347090136487445,-0.012048030670757147,0.06967208963046267,-0.002749361408447422,0.04497141969358157,0.022331798317261436,0.07743099773111721,0.07155749067527624,0.001291280968370789,-0.006676046493819755,-0.0621110486067507,-0.039916363598455414,-0.051604326414640474,0.028014635223689514,0.04154180895648784,0.05327048347807089,0.03031740122436239,0.03429969368698289,-0.05458361371359718,-0.04960685428912121,-0.03230901756895698,0.03738028003504401,0.014219545099178166,0.008214453234465692,0.017695945589489538,0.004669056719756634,0.015693024611402612,0.02570953379604014,0.022321640375979657,0.01786966954062333,0.008956995854611915,-0.0355014601616049,0.014147268986458822,0.04324885951223046,-0.04058617983131917,-0.020060894909814418,0.013902274755758823,-0.08284223243717068,-0.010648547195986508,0.03626491322973418,-0.014567142872021847,-0.010754885107993597,-0.008123441784335357,-0.013025124651046051,-0.010706926381903546,-0.016310276960609493,0.00045333441922524947,-0.024781145317271804,-0.004909090131802294,-0.024912042239213363,-0.002309760730330232,0.010956547862828844
mordred_nFRing,-0.0020521247732348744,-0.005603106646471347,0.007735782438571271,0.026916618526345887,-0.0009406148529918139,0.016783358838872546,-0.0008463735775563954,0.02321896388099304,0.06240504601254317,-0.021372070066482146,-0.005667040656419558,-0.0030011431687807467,-0.012683414878889377,0.060185778714217965,0.03365858216632682,0.030631095588667116,0.07450832016385255,-0.08618202084793641,0.03320197586666637,0.01732848875696744,0.05324475934281908,-0.05292068184548167,0.007826469478825315,-0.025976462941048044,0.07458113878896025,-0.07145270952370965,-0.0011809579325809559,0.04231929507581902,0.018618546975249454,0.04658357202066713,0.11867068930249569,0.007264811928467343,0.10134378039504863,0.04394867407271107,0.07907165552173837,0.006099631412481322,-0.12488557562846996,-0.11095277453542128,-0.032077766951770746,-0.06950537020389791,0.0024573202079591658,-0.038820613853990486,0.03244412797689343,0.01975030880054666,-0.04343984103934677,0.04638078500448551,-0.04685603169650325,-0.007836709185248788,0.018293701903345207,-0.03400669677767537,-0.02388590724225829,-0.017696085740326103
mordred_nFARing,-0.0653274456207376,-0.06030765187689496,0.12915764867183702,-0.030888081980667705,0.08440111183425153,-0.04224015829126908,-0.007869683857187849,0.1606576375164631,0.03939131127449013,-0.08202466078585285,-0.03910517453772852,-0.0743539357395515,-0.02480022772005417,-0.0006987341196164362,0.10368795156959562,0.07450533107553292,0.0243660532995002,0.02694536381746152,0.018285742970048674,-0.06454575711581452,0.07392823939437952,-0.04235636916246632,0.025895527315549404,-0.0765154433153189,0.02008071440043653,-0.0009907262319239427,-0.03816957248812091,0.012770783364344855,0.005939791250156607,-0.0027086963042805934,0.020414586739127605,-0.0055741919820708466,0.05044500179987892,0.011543493625410276,-0.060071071556762036,-0.0053832769914702195,-0.07946446729813943,-0.051277117112788706,0.042490336246017134,0.013690074018166944,0.006991653224447526,-0.017912964312331116,0.014892317655742993,0.007611109598525089,-0.04614535113173874,0.02617205073896168,-0.05698235975540153,-0.047964217214021686,0.028379122286970353,-0.05376982381465491,0.0010908166799915788,-0.019926490746966695
mordred_nRot,0.07391395368594453,-0.03104937538789137,-0.008184386881274517,0.029811554796096557,-0.01927768711857789,-0.07597076028714135,-0.10454133340481757,-0.03988644270134765,0.05715739171472058,0.03265187290927057,0.06436581506489653,0.014762591191142068,0.035452895820874054,-0.04054687893214246,0.0019403293594248403,0.02511023373013712,0.01856323338886196,-0.020223959679989675,0.05089670289041251,-0.017026737479281594,0.01470528642691382,0.0031848571676590114,0.02020456885549148,-0.019511742838078088,-0.055266969555528137,0.008546879332405184,-0.05989241682068465,-0.02149324362139223,0.04056378088659789,-0.027867144968429795,-0.02003675512398043,0.005814885227802931,0.004334826456055872,0.017529501341258042,-0.016194502098772733,0.006630598142636712,0.0787961664946116,-0.0015231692429948987,-0.03210475793354176,0.02391499327390429,0.03424839303915815,-0.02537345718912379,-0.008793715030413825,0.005222080398369005,-0.012980922628366141,-0.021056953535449834,0.0017920626107196882,0.029282119716638667,0.015665643458978792,0.018458396984042145,-0.004799746801286327,-0.0009029400039931976
mordred_RotRatio,0.04934332634045824,-0.022462632624211647,-0.04849380573482874,0.01650816546358495,-0.028650491030003587,-0.06889309708621538,-0.10629342557391587,-0.029801787802526753,0.04274391815035236,0.028368857857569988,0.05359007346089417,0.0029709635972174414,0.06014403235820679,-0.03256570899669728,0.002805805258266032,0.016639194829679155,-0.0011995969253550626,-0.030290681021436863,0.04160482271248971,-0.01005040341192132,0.029663900641219668,-0.004734119919776414,0.017836361051538747,-0.01905035421005709,-0.05485967384790654,0.018652652219484412,-0.0631325984982456,-0.01819617635554438,0.034950173364004175,-0.02794751709756373,-0.026683601855414848,0.018508712190089878,0.010113403930699082,0.007469005550559389,-0.014947192397555107,0.003927471066775233,0.07319755282344922,0.004691321483998627,-0.027863927449849252,0.015520044927494883,0.03853111988903483,-0.01652468301684926,-0.01607659219378884,0.020026749697168503,-0.021701772524104705,-0.023841917392049373,-0.007932735070643692,-0.0419134281864562,-0.006624947280860018,0.00981676749476773,-0.007566582748019999,0.02597128081376756
mordred_TopoPSA,0.010492914355389783,0.07082064068252705,-0.012692721488486828,0.07571358144274216,0.06812477975371822,-0.040376085400192246,0.016624284934893745,0.06439224305255614,0.052024544987086724,0.04933376550180562,0.00867075234358517,0.027093779541595392,0.005792042036123085,0.034591029658616476,0.016094461038677333,0.005587531559603279,0.04051427523661073,-0.013365843555551813,0.03647039586204326,0.02539404627821693,0.05319976930323939,0.044712432312024125,-0.10334505129015269,0.14614579693846438,-0.010449882699613713,-0.035836126884510384,-0.027452472889080645,-0.08551838296573003,-0.04436274321927781,-0.043339376207318855,-0.007077249829857053,-0.01186052016909712,0.01712160755824348,-0.007066199575342431,0.011726116938162936,-0.023214886036873245,0.006171476538125553,-0.0009099867496554792,0.015257561134724821,0.008463889911563233,0.00827992873214064,-0.023528225159600905,0.023239637491264183,0.010667056988908545,0.025826292785198948,0.015986135423250794,0.02001852655095805,-0.03537105794158461,-0.0075352039023700666,-0.014753143553035485,-0.014456995333382374,-0.03432954833766508
mordred_GGI1,0.08417610130198488,0.007869483507279397,0.02570674099725475,0.021684037310400136,0.05897437809175826,0.02793928388592533,-0.0009710950845437201,-0.0073644269033973295,-0.01978651581674395,-0.029995188813166773,0.05156173121100258,0.006899969336190139,-0.07368644711874736,-0.01019023393493975,0.04668737564723636,-0.014449568464794896,-0.021927296191936306,-0.01243349082862823,0.005002132874138891,0.001213027316117838,-0.019520741801462745,0.0024847208914720986,0.021664297588737724,-0.02532918360136744,-0.04438485668550528,-0.02885726130499721,0.025744406520986824,-0.013434924091881366,-0.0166481931482676,0.010924128294863956,0.002009646890465681,-0.027808279347152225,-0.03207624384018224,-0.0017108186580658514,0.007464782796953695,-0.00747462468546663,0.01810709380533609,0.024828446646247358,-0.03353845670638676,0.013111469570215771,-0.012352527714296515,0.0037640600516059292,-0.002021769915874362,-0.012503500738546586,0.022029764010669334,-0.024934215378449403,0.0008412529848582485,0.004104444257874584,-0.00013046485077706837,0.005435685635543373,0.01292669501093136,-0.0489186291939747
mordred_GGI2,0.06771904508318384,0.01837339307162155,0.013927252919942604,0.03269890754948264,0.016803764593554708,-0.019595557179146433,0.05070060612903892,-0.0005409210571706635,-0.0020461801424285194,-0.037392257571420534,-0.030540789207323595,0.020330103527827485,-0.03423992431973819,-0.002938040017583108,-0.011283769562330995,0.045312990045511176,0.023000412941774007,0.015823507531883045,0.008781016677579655,0.0011757491503713523,0.002195272055287082,-0.010658921696359791,-0.03579653354210887,-0.01539978337466333,0.025240729755509256,0.029648243563314084,-0.056569736900282115,0.01637391948635569,-0.011522076669715211,0.013429746114588572,0.0257203277819547,0.030006638720561207,-0.010429226317749084,-0.011585253422075949,0.06671579973324114,0.0030058157790467505,-0.029772742259340835,-0.006798930564217132,0.00299569198046886,-0.013700841962108256,-0.020578633835054,-0.018938671803234424,0.003196266017680157,-0.0081718848466576,-0.0009546934885890795,0.03840052026202153,-0.019184145276854827,0.001881350756626629,-0.02468446755748844,0.01499011679856292,-0.002516169541063157,0.024314683811185074
mordred_GGI3,0.06706617139991672,-0.0014685558118712446,0.039614010290378955,0.024167060013462412,0.000385556374402812,0.02170038897546298,0.014450456559144858,0.04791671665324149,-0.01841514982091184,-0.0639067720745064,0.051833256521875426,0.04491554508290586,-0.04709498229527566,-0.052799907504803054,0.0005670091850841703,0.008221315527044575,-0.007006183664464357,-0.03860316581683372,0.04666216582630672,0.008363970035484477,0.0020766162596416626,-0.05848157258424041,0.006885670990912182,-0.03519172209683012,0.03215545151664291,0.052250254070256685,0.057999434471554936,-0.03986024437649718,0.0038472324158844535,-0.04780171424010895,-0.031326315250472955,-0.02722131422444249,0.043738243608990625,0.014122424311995554,-0.00648335830270912,0.03225143881110535,0.003365275319909576,-0.0016685050399130254,-0.013351273748276576,-0.0023429741642897028,0.008686737959381666,-0.030131043920118963,-0.026346927372071813,0.019542498908605845,0.004316749271523105,0.019265978466802443,-0.007383553104376824,0.0037965614535347835,-0.008369442750643212,-0.01490859105529743,-0.027783050115465082,-0.03840990484463127
mordred_GGI4,0.07978948939314834,0.00316256700712866,0.040333847503189496,0.017388912339210826,0.019250617583253898,-0.020038076067932713,0.01489299960234585,-0.01462353120390857,0.004826335434226812,-0.03664843369448407,0.017689935444752964,0.010060826028309126,-0.06431334833048927,-0.013503349731504638,0.01410071829750535,0.005124773048836424,0.048766553382473043,-0.012727500795565666,0.045691487549169615,0.014863010225233205,0.009964026718064626,0.0013988376191110892,0.010259374962931566,-0.04682718947343837,0.0046924977699924365,-0.014500156273651466,0.019827887530510204,-0.014356041367114339,-0.04146894048743469,-0.02063413180431739,-0.07413374011158257,-0.014327427959818293,0.03188723261349402,0.014525966480290402,0.024687676136950654,-0.012942685234047952,-0.016924046774392926,-0.01995275445598598,-0.005141736786924557,-0.0055852660872800185,-0.0007069278655584544,-0.021437067353055474,-0.033675385586639156,0.0016826240880804962,0.000439895907816911,0.022311429653792927,0.0015339162774286733,0.006949872300332224,-0.024869900043442212,0.010660076856740067,0.006789150324166352,-0.014866960918210223
mordred_GGI5,0.07229360353297044,0.005939951943016125,0.028121207498139737,0.027463521819451987,-0.004635604199262425,0.003263373832615011,0.026841048873317667,-0.0008047260088082561,0.003490160077032991,-0.037010159608385364,0.007016231107665542,0.053806339090384285,-0.013011517458108749,-0.01480901551533181,-0.025298148954391142,0.03878543529093733,0.011489835268442033,0.0007238947271765028,0.02926172915562449,0.04175531954248586,-0.004474705767827984,0.030482516053722368,0.009593989305172131,-0.01703805756414298,0.0015761675130326839,-0.0012086869535055111,-0.03361795584210033,-0.023901476519228176,-0.007978422293459441,0.03058616957952028,-0.0014952322002285904,-0.016843288231919502,-0.00298843579949274,0.02497013827745664,0.025646842013133088,0.017808857595673976,0.0004816195203625277,-0.014015600364773268,-0.008945981372907754,-0.015121950712753693,-0.019541973723202273,-0.020914979607914403,0.0035740059581876875,0.00039035553197740657,0.0039018376152158505,0.019543578950506867,-0.003182721402899678,0.006092180751718499,-0.0069959025828052615,0.001905933920462893,0.007922804189269076,-0.05343447632954941
