,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
rdkit_Chi1v,8.360689442057093e-09,-2.2766276529465118e-06,5.164182199445602e-05,0.00032159168865254263,0.00032738273318750277,0.0015736394503333543,-0.004381893518819256,-0.010474563844583803,0.004433724326500287,-0.03625292006158556,-0.01719861321118692,-0.018841787493344798,0.04367325178813102,0.01858130207946233,0.005446327621099316,-0.009459141578926555,0.01743342572262993,-0.014949327930605267,0.01031327662913052
rdkit_Chi2n,1.0142407288172687e-08,3.0133973205521263e-07,2.8167938314782064e-05,7.509288758639185e-05,7.718785633777634e-05,-0.0012301509358617316,0.0015244530993909293,-0.00503889544547705,0.005965149632600125,-0.04088089825092236,-0.021397112816738107,-0.02281466149805852,0.044969213916860803,0.02773120430462663,0.0020594171418429185,-0.015743062217066697,0.0063138410662274365,-0.0069847537397457245,0.016503032612021528
rdkit_HallKierAlpha,-1.794780741352045e-08,-1.203408779062141e-05,2.145187005951886e-05,-0.00034337243223782154,0.0024939070938564995,0.009838925942200476,-0.014890488611166307,0.040642796335010424,0.0047504095574555675,0.022925167845227364,-0.012493104873530477,0.047054261946822384,-0.07608376323070638,0.08664595961332382,0.10877118918321302,-0.005833531108065713,-0.0502700034868093,-0.03100271172168266,0.040434762444033136
rdkit_Ipc,4.6814214439073696e-08,5.416693327484745e-06,0.0001133239600318862,0.0010038556042250729,0.0014838322393830798,-0.003294832367930194,0.002608813312394223,0.012864786222093295,0.044968544202583505,-0.0702289812935618,-0.06504259069479545,-0.000765120119156241,0.2041395314050956,-0.11431532633656871,0.16712448408793107,-0.039360168840118885,0.22823882844576593,0.2711730092613725,-0.13794010460248451
rdkit_Kappa1,1.6931338217370085e-08,-4.804705380818111e-06,2.5760355769441665e-05,-0.0001816978090383855,-0.0005747367610129192,0.0010234792718700743,-0.004734588354022544,-0.008650986897547204,-0.010672271282650813,-0.014523317041446602,-0.010700606288806726,-0.019639590190548017,0.044347916523498454,-0.001755137876816183,-0.020985068902950127,0.01675463406043771,-0.0009619810042300163,-0.0036099253776842844,0.029756768960058265
rdkit_Kappa2,1.2562847139207725e-08,4.0733164807419255e-07,7.165750289092002e-06,0.00031007451427767684,-0.0004180179457366069,-0.0002303459283826831,-0.0002080882076233411,-0.005774800384924071,0.037342607687825394,-0.011241799856747232,-0.0087365673581871,0.047795041864582215,0.02768031707459037,-0.04873119060716493,-0.0019563564978527658,-0.008820825282043643,0.02942268766201567,-0.0047941730183431305,0.026141031287954773
rdkit_Kappa3,1.0499759294052327e-08,-3.8022098885032672e-06,-2.3234101537012984e-05,0.00013440099554181157,-0.00043257526359239654,-0.00118702653701048,-0.0002960833687678071,-0.008748196934921331,0.02980503673084177,-0.008536940747500884,0.005319725761973846,0.0535125019499916,0.011402746515942723,-0.04076685917246931,0.0017897071344673448,-0.00494166490418042,0.027279262091222823,0.01779077425465232,0.027928399149252686
rdkit_PEOE_VSA1,9.910437736310501e-08,-7.161975657581017e-05,-9.365806466163517e-05,0.0007292152292590671,-0.00019288630707924828,-0.05413514768345867,0.11301038005239207,-0.07517376570204595,0.514398682832564,0.25870787735153283,-0.4454054817992926,0.04391651845080145,0.29275045070982564,0.10679448110731468,-0.06213502155910554,0.3596685933335705,0.032824886387632986,-0.11690564864146794,0.031660658047804886
rdkit_PEOE_VSA10,3.184355191511664e-09,-3.4367662120305475e-06,6.983650272958728e-06,-0.00025040699589911963,-0.0004189390178938679,0.0005567865242203285,0.0015537933314544007,-0.0026908176491517687,0.02260218911446994,-0.0038158238082801974,-0.0016656278151766552,-0.0006538224993389215,-0.028122514769664892,-0.01086916106488907,0.01570514494841568,0.00382347376750845,-0.026858318740043925,0.00022697978317615485,-0.0761755723601554
rdkit_PEOE_VSA11,-9.398771540687119e-09,-5.67796554486367e-07,2.662716058433702e-05,-0.0011142302027363242,-0.0002762718001148679,0.0070766554369316335,-0.008698932623342414,-0.09322751927014516,0.00023608871607014995,0.031453791013308294,-0.007414044807113493,-0.05946423902726143,-0.044182371863941604,-0.04908944889744929,0.15703958673806845,0.1869006430149656,-0.12027070899984768,0.05627148549801902,-0.03478027597159133
