,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
rdkit_BalabanJ,0.005195664937699088,0.07646986665069352,-0.0526458961658135,-0.06993899896862446,0.0048346060824048425,-0.0063761564253879775,0.014299506242828434,0.025769445419958355,0.056947044626066826,-0.015940525222610084,0.03419600563969066,0.02591687382608677,-0.0273304509691959,0.007160449869102316,0.006714412724300962,-0.014994169573525193,0.023042384535637915,0.013268283654613007,0.009809424846273639,-0.006366084838470303,-0.0439876378478285,0.01581673829276828,0.024748828138483787,-0.018645136007353937,0.03835545360965768,0.027927532790865683,-0.01185131742004782,0.00917273189059658,0.013009159809766833,-0.019543015909936207
rdkit_BertzCT,0.049319964740877874,0.06195661051440435,0.06392922657542231,0.012594693689355846,0.027919789814891002,0.0027067912093224674,-0.04480247034383304,-0.001977335331377967,0.010688360421105535,0.05653724136244673,-0.002561739568189486,-0.004837282853385638,-0.02696150081861545,0.040575155088193725,0.016636162483487312,-0.025937732323644113,-0.012768703417388167,0.007266217001518906,0.019789684940807975,-0.0026206911381064847,0.0022915632336996243,0.003817692666944106,0.0003895163831370841,-0.03280170585228084,-0.030307353298193253,-0.0003503830991888009,0.0046446908706700984,-0.022220950889026383,-0.039139333777296934,0.0951104632431421
rdkit_Chi0,0.03889226787048763,0.08446638613459366,0.04771862442561674,0.0014931438694972428,0.017335780614812397,-0.010012671142280063,-0.024172669293436082,0.002717791039870402,0.004768317966912789,0.02361483061026459,0.01107366743142682,-0.028963408614112993,-0.021699089229686646,0.0437753320531999,0.008910838680885894,-0.015086202470850187,0.010115676296395083,0.004442825582383905,0.024868382462152016,0.001365444245980664,-0.0156276375245569,0.00618134610998469,0.016353282185967766,0.0031493011016652662,-0.007265653589369089,0.018767952843122736,0.009015004158528468,-0.01124785202567953,-0.0049106932643171895,-0.04771560544517152
rdkit_Chi1v,0.05207639343941915,-0.007261196475486378,0.09600291827315822,-0.020551138954372643,0.04226217943421408,-0.008233274202498938,-0.004282659622099506,-0.0010490832425117927,0.008525388801649601,0.020601881873532967,0.026833659591044952,-0.01952074403502763,-0.012872097578677615,0.06142008893310228,-0.003486265686294354,0.008774014327671381,-0.0031296115066996007,0.04228689443952418,0.003451568459655595,-0.02907148835310742,-0.005534768525471022,0.018522429417675235,-0.029703890343207785,-0.02253686465954472,-0.003426187554412823,0.0014172456690953854,-0.03732237435655486,-0.03255217876311793,0.006192745539159639,0.03834175691672017
rdkit_Chi2n,0.05477521847841453,0.048071005561865006,0.06684741369730098,0.04597600101898066,0.027580454191835992,0.011796775465317159,-0.02705897105630869,0.0028828934526841012,0.016303997137318338,0.04766939070413626,-0.01168314577729558,-0.019296189445884036,-0.003380036521334956,0.04031463077031539,-0.01631729954034894,-0.01907944543101785,0.025587940349645247,0.0009460770064509949,0.018110170733587942,-0.029008271353608853,-0.02248744101025641,0.04494641203170764,-0.019568967728193762,0.025296789946976938,-0.014809116472176647,-0.039185608130036326,0.0010691894349893877,0.01517419525973027,-0.03116300397597292,0.03687446432915871
rdkit_HallKierAlpha,-0.04473598113193531,-0.030112646266522596,0.03900778999920066,-0.07269939878261163,-0.033405119813291084,0.009388401028512398,0.08442081359804268,-0.035308313849722384,-0.06969869394590668,-0.0046035946507168276,-0.03599048201548842,-0.025568956599166682,-0.0019112605900463387,0.0284104216335662,-0.01760379566086128,0.04557219731759495,-0.03434194704925602,0.05111951751836394,0.06462440099664542,-0.03657706889761117,0.0729902820423118,-0.009730738474716016,-0.06529058887798163,-0.015384104218319858,0.015610761935343926,-0.020688481959087734,0.012408734733744488,0.025514057326908555,0.02038258937143314,0.02719661334612179
rdkit_Kappa1,0.07904972103547682,-0.029448534397016276,0.040261869506036455,0.014398545563437325,0.0656537258604729,-0.015125360417763396,0.026656578052278092,0.03122713136390465,-0.005702050881602431,0.00037949421711873447,0.013685572408521085,-0.0010327764170517748,-0.024635370018285634,0.025400219784335043,0.016872092812516656,-0.019983815723169155,0.007579587357515524,0.015196137651824945,-0.0012916680957391982,-0.022491911748112697,0.02054434920112274,-0.005233173756683306,-0.04135808190958689,-0.0016659923460961895,-0.023924454738398476,-0.024786585849224944,-0.024772214131185327,-0.004684181722881634,0.00026878886198020873,0.027699211098074505
rdkit_Kappa2,0.04434808996360909,0.06835344688232496,0.029678338066762823,-0.01930516059684642,0.042041350549538954,-0.043781295569634705,0.0138473792630287,0.06440011846454513,0.0014040584892470323,-0.013450009603888258,0.05261066557882458,-0.07849787956547193,-0.018095131760188853,0.05142488474130999,0.02408206208847679,-0.013497405635384098,0.006012309118689303,0.02201353585021771,-0.024447461553186795,0.015510142196412112,-0.05167036866147075,0.01320772098492031,-0.03818171157402526,0.014438107781040188,0.020114967166258126,-0.008502047332988072,-0.05352861639301243,-0.016270785959310426,0.012642284060732645,-0.027670142655841067
rdkit_PEOE_VSA1,0.02199429525170661,0.06766548845238814,-0.017902072902633574,0.03742822690089006,-0.036750727452843454,0.035455573186764636,0.007637184994322558,0.025542470355305838,0.04451149757444957,-0.003854978185619754,-0.047977546463468336,-0.01766314550063953,0.011868522794278066,0.006341089639551138,0.04632837486403541,0.058041957377288005,0.04428180342692969,0.0004794708444976406,0.04098191927086257,-0.05530816133853928,0.03250076855004411,-0.03956390360204676,0.04724380970044494,0.10333506099341959,0.14409283822847035,0.016928803657567344,0.05090724829468268,0.05646707360820356,-0.038802574522399776,0.019916633619605738
rdkit_PEOE_VSA10,0.0535227945475507,-0.016376916621090927,-0.061021457656603544,0.013762662434251435,-0.08893848008863928,-0.039547346212573276,0.003733597094964577,0.18673685311795452,0.017331053469817666,0.08686081782543978,0.06851755645575053,0.004691634297662854,0.0049045511876989285,0.019571017381177586,-0.003732232964875074,0.08243218259037546,0.11208121044899631,-0.012852851586262908,-0.06316841559144377,-0.02445250201483272,0.08483248006430173,0.08918270568281701,0.0849632231821949,0.13938735471460362,-0.055346124790006224,0.09832678943339135,-0.07144709097687363,0.03512618450333278,-0.03143287851783488,0.017074672944577048
rdkit_PEOE_VSA11,0.019690701376003258,-0.04380777298671483,-0.023811685635000693,-0.07284722943952608,-0.029423863241820298,0.022465781719745215,-0.031085761983473563,0.15065022374312984,-0.09294453945353932,-0.0013197983757248044,-0.17876326624763722,0.05591383728844736,0.09164402669476777,0.04374440161646524,-0.009271102323824821,0.0813153406856435,0.059419645713483286,-0.09044820077097028,0.0331748970948307,0.05875388257140195,-0.01573595589241619,-0.10556315649592492,0.03226735271443397,-0.13048667712518222,-0.014179941542080462,-0.007859361733276832,-0.03901454541109124,0.05510942582850166,0.05683640025318651,0.06560450005098918
rdkit_PEOE_VSA12,0.01714033105148248,0.0013164531477591842,0.07325851062755588,-0.06287112656431407,-0.12227486364920571,-0.06904728674248964,-0.04077524787881159,-0.1246679014015177,0.006162953515265826,-0.060980219375098954,0.11377241983131992,-0.020259116840470683,-0.07004357538262952,-0.10590262798311954,-0.01155539968390084,-0.015575763914055366,-0.05462560920769556,-0.010024944858846372,-0.10503562732985594,-0.07020323820303959,-0.005010233119319016,-0.008493443639534949,-0.1238474115270579,0.07029425106730162,0.10814037260787736,-0.023594105605811534,-0.004443342214256801,0.005779261477457971,-0.06039359976913996,-0.046962286111910216
rdkit_PEOE_VSA13,-0.015237342861897834,-0.004387641890933378,-0.020943519049795783,0.08727960954594319,0.19686963162062818,-0.0026920771134546673,0.0850417333491862,0.010464138278540045,0.03332958357656899,0.03194689239199011,-0.11731005344164593,-0.02058340845079944,0.008124610343936448,0.04302617960762064,0.021864882479384534,-0.12488854406915827,0.03000613977968114,0.08354337165279596,-0.0026558380243848563,0.01776375562636432,-0.05657432761206877,-0.020673615556976235,0.11640782243074818,-0.11217457887040835,0.04498529719697927,-0.007327466760550537,0.03288694007734624,-0.016586910976988924,0.018548445361030817,0.02432683162857563
rdkit_PEOE_VSA2,-0.006895527082013837,-0.0025148947220836075,0.0030663047476861016,0.029382366885145592,0.04863409133821522,-0.017470253841992228,-0.05401143230175971,0.027484096485168058,-0.003756483010032097,-0.02368352124690303,-0.010714410384486171,-0.06184290375878686,-0.01604112106258189,0.04211523479610914,0.010756973718770936,0.02368146099560508,-0.06018451466495103,0.05868555269201044,-0.04684790072416923,0.03462048372178285,-0.0322278953241125,0.028379417506294642,-0.06092409740703268,-0.021681119093923035,-0.06911377097166312,-0.03799481109555646,-0.07307300073671312,-0.01694464516402122,-0.005380434821923234,-0.0006379555694750481
rdkit_PEOE_VSA3,0.06799497317937242,-0.0032671265024305732,-0.036821075378421934,-0.03673837322950411,0.0382267614041628,-0.06945151728141728,-0.029553649303024454,0.020246661606649355,-0.1170366762882854,-0.054736243786710936,-0.062142038246903904,0.17748044404754326,-0.12245538718949314,-0.07919353014208114,0.1002751786661169,-0.04972113569249645,0.05339044637805531,-0.03331179670619971,0.00944861768877568,0.07569003586033618,0.011375409417955461,-0.019481456745869416,0.049526087871256064,0.010580538440913152,-0.08710637913839876,-0.1120450251111639,0.10560487818047007,-0.0047549877121861785,-0.013873489244240705,0.02293924851831707
rdkit_PEOE_VSA4,0.056791046512369346,-0.01389818619209307,0.036852698764561626,0.036323752783104284,-0.0027772990666124157,0.07847211248780299,0.047499143114740155,-0.06078333369421426,-0.01578800469372078,-0.0180264593559362,0.2002811178215548,-0.00587410735322435,0.10507586468916894,0.06054145764869098,-0.06056943466658389,-0.046184384848354396,-0.015073816720165433,0.07205667324091146,-0.08312962016215593,-0.04854093719122024,-0.0038833223561700906,0.0013000549623488986,0.011667084042246981,-0.020514048095328294,-0.12774545531485207,0.13978391207686297,-0.05144344969079983,-0.018635926416795196,-0.0383034539266906,0.005965639073465851
rdkit_PEOE_VSA5,-0.0321339926243943,-0.021755676367811335,-0.016444068185118628,0.04772682823943458,0.15029468882001557,-0.05021672880714646,0.041913491602359784,-0.0009024915916469161,0.13094704939223678,0.024101908500183053,-0.008529595960734104,-0.03802744499296564,-0.03358892493397472,0.028015939489261624,0.010743796157287343,-0.02582097903250321,-0.06779197604728325,-0.10393885635920776,0.06413176112544411,0.08832651660948747,-0.09967096372808143,0.08707862957985014,0.0731905051084524,0.06788729992732871,-0.027776669816987926,-0.07959931894380053,0.054526373999887835,0.015211286839026691,-0.008578910234494109,-0.023710710985623617
rdkit_PEOE_VSA6,-0.0017717447698640928,0.03505792779401717,0.05689192293607866,-0.033870528711844476,-0.01634742681791191,0.049969279116160156,0.003004674905857453,0.010339406062545754,0.0017925535546231951,-0.04103150779438014,-0.05414181971617873,0.005123881761916794,0.12572304676763166,0.04230809316979372,0.0027326266791413384,-0.017442570564957547,-0.011668225161956458,0.02490830171424776,-0.061960224520035204,-0.006404879294067701,-0.08673621119904985,0.02860627152261101,-0.03352105786846574,0.04531865843254466,-0.08602007389902677,-0.027187442066206574,-0.015395941955865798,0.06038487512424655,0.08998561346702227,-0.14365583689339792
rdkit_PEOE_VSA7,-0.0016975310908933863,0.02957780427964551,0.04153593549443892,-0.049891339099742284,-0.07240530003932949,-0.08673579386555129,0.016731371631929656,-0.009793314912207751,0.07151770241378787,0.09566149580567801,-0.021071285540389124,-0.021691862873571558,-0.09292256377722843,-0.03123556886210644,-0.009347743531646698,-0.03954126786266772,0.0394026012915866,-0.060780046217795515,-0.008077517289785492,0.016408515696045813,0.02452620453881921,0.04748184918180076,0.028934712754595623,-0.030188999146719308,-0.010203322626366746,0.05598285798010936,-0.0521234273665798,-0.1520108893498136,-0.06428308247694803,0.023335280103108393
rdkit_PEOE_VSA8,-0.009765520685586336,0.07656231913855147,0.03738561897869125,0.019860375115513924,0.09845520111826614,-0.014420338640328016,0.003253688538780519,-0.016945980327794694,-0.02046791855536765,-0.013720372151266145,0.0062804831423045925,-0.017609157431872396,-0.025011787991394918,-0.001677456305924173,-0.0021543170850019124,-0.058141853696532055,0.033357808932506824,0.028548878436669946,0.053323205288174254,0.05408926393359465,0.011531590381555873,0.008766968972771011,-0.04742356236177733,-0.008882178025607467,-0.015988490894823133,-0.048962807940696206,-0.08787346882921014,-0.0440688393807336,0.04404010207094827,0.01411365367254354
rdkit_PEOE_VSA9,0.04165905790168593,0.007562862079301638,0.02881483794910525,0.05183199159413611,0.08131316881069872,0.048599590693140876,-0.05349063715237654,-0.012770749532298998,-0.02508422164457939,-0.04277359807701939,0.06608934545112086,0.01321342564657064,0.0014676334948992094,-0.07377530049671033,0.03729566870040999,0.04771548501752092,-0.03169673277100194,0.02840560511750649,-0.1517694359856751,-0.09476761657188233,0.02374790462752296,-0.025932329742414228,0.038858579785106095,0.05252362843404649,0.05154213708900097,-0.03568116329954802,0.05495913635428438,-0.0037239782784252635,-0.09787667435743223,-0.04226209858670184
rdkit_SMR_VSA1,0.07075258018943581,0.050951214652836856,0.037239994792172146,-0.007636809746545681,-0.01183670630782438,-0.01810297634919298,-0.052832560619979846,0.018424391177157634,-0.01702598280498389,-0.0013170947415857837,-0.016145229405278533,-0.012708958051790679,-0.03357239138349012,0.06930392513087108,0.0027022946419604245,0.024615946838439,-0.03543634991202372,0.020107268968512726,-0.017171900382140847,-0.0018064926358873138,-0.02169731389611266,0.015024754532583694,0.03604403298633382,-0.02965488696397967,-0.026334705113975065,-0.04100156614167232,-0.00493666678466902,-0.03350775862453575,0.05058583057167686,-0.06465219820281205
