,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61
rdkit_BalabanJ,0.049092725807008554,-0.07382388918116187,-0.03252520739857957,0.0407698200219378,-0.013781847144914042,0.0029091774188791907,-0.03227691844551455,-0.035229480432024105,0.012803845468354622,0.02961174073416823,0.004628929147793712,-0.07431056733870532,-0.026620608667141853,0.023168023302322347,-0.001269021299439992,0.034108568569643664,0.020916345151986752,-0.003777046717957543,0.010750709084017911,-0.009077845654939421,-0.01641978763609745,0.026542471956743485,0.026463526876772944,-0.03560067113902531,0.00665379837059147,-0.00021956767688692698,0.015369408630175127,0.03552467901414851,0.015466459196748675,0.005210026149233623,-0.00918746348869848,0.0077216448627898,-0.021963233625132163,-0.04276565434226117,-0.0036040967290041225,0.00414907967507501,-0.08104786772722851,-0.004496304186798897,0.009338220091204472,0.003380223961477264,-0.0029519379475828325,-0.020237384090520682,-0.012745802395046368,-0.022858839330005647,0.0475508049868618,0.04435037300261555,0.00453163073202851,-0.01805591208852914,-0.018349173382617438,-0.007203715587494507,0.01789259961318831,-0.05419916288833239,0.024752647875497562,0.004127997071523227,0.015229480557943945,-0.019101722016276485,-0.03340411075216487,-0.008955583214282825,0.04683406115480897,-0.03704793701608344,-0.11217879515512362
rdkit_Chi1v,0.026213201104948396,0.020870972733002476,0.09966137283534535,0.0437171583615304,0.04849999445361651,0.00927538154551171,0.04689201496584008,-0.0013705226194196216,0.002649847876297347,-0.050128289210163185,0.008431229712055408,0.01018068179349998,0.021717748873982447,0.013507860323158892,0.014701298627185,0.02562324319724788,0.041738754047199435,-0.0027838387694010054,-0.020105205753036266,-0.010105826029177967,-0.006723173656641802,0.017598969582074492,-0.008717358441200477,-0.04076128555237209,-0.0380377262978414,0.031015641429259888,-0.012491936059052258,0.030712439361343647,0.022635799849188187,-0.025198728465798643,0.03219223691558154,-0.043424395937689785,-0.04463479624338529,-0.01700867043538397,0.025437682506364377,0.015988255654321454,-0.00942749829873476,-0.011142584940729205,0.012690680781159787,-0.0057301696407496315,0.008306499956392146,-0.006345054588496442,0.031048707033369777,-0.013875183676322081,0.022401515288314484,-0.03775739739353833,0.006478756404429653,0.0008382607364144613,0.04512299391666544,-0.003965822380521523,-0.04864494179824286,-0.00691979969530559,0.011948306589513956,-0.03899459174270076,0.023933350852534747,0.038764987989470576,0.005910705672776919,-0.02589418172728086,0.009001147542099505,0.0043779926011759136,0.02642599839493029
rdkit_Chi2n,0.03877159355791619,-0.00882318757116197,0.10178126887077824,-0.04714156803334456,0.03393545910981551,-0.0001815858756993297,0.021195938650367466,0.0070329487476060515,-0.02359901339142286,-0.02605460416727061,-0.009949783057574239,-0.010532883080293647,0.01603085483112581,0.013191054723154905,-0.005533221517209296,0.008051714642203259,0.03184766299202986,0.00226524268140007,-0.013503157865006488,-0.05185177513806666,-0.010169650470685423,-0.030760422103863882,0.023309065424806992,-0.015015878073409334,0.0134628778043182,0.0016665107490555996,-0.025550910271011484,0.03575961171808955,0.003138259506169302,0.036107368409825466,-0.005049125380988694,-0.04106992662635252,0.010400873657141707,0.016446438173345814,0.011145158819284396,0.00735174333994776,0.00019609036311075381,0.004463380618605293,-0.019940830508602663,-0.007066912071699934,-0.03592783489489226,-0.02439174714855755,-0.00857056230653591,0.033733201139418384,0.0013409392712703735,0.0406829163051681,0.01906555883527875,-0.010314997919724882,-0.0008342648040462103,-0.02667132010797863,-0.00989788615911487,0.03882857920000063,0.015325151496693295,-0.03283145411298509,0.040396492878472266,0.017591355108054114,0.01681007812212516,-0.04286936261559818,-0.02515392267693462,0.02277130271811882,0.019174283375712284
rdkit_HallKierAlpha,-0.05547279021998373,0.011570084347683337,0.000758063778321921,0.07727274315507095,-0.04120300888652757,-0.0670058119154149,-0.01763341033226385,0.06776401318044616,-0.015174024414632064,0.05455916281097638,0.009014114656564721,0.07070903739738232,0.04889549173976401,0.008907617624279822,0.05100437951732697,0.013854979606297705,-0.03245269343553297,-0.02064856082092556,-0.02268794476611012,-0.04385044914967153,0.006939552552558767,-0.024520447709549177,0.004678150549063378,0.06050826052200292,-0.012690467482795422,0.043932121261051074,-0.00934409280646293,0.01310838478394603,0.07119234262018753,-0.0404356078407274,-0.0003031989940506015,-0.02596840512250615,-0.010638663353581235,0.0002375058283650665,0.030952320410507814,-0.008681550668824192,0.03732277924900118,-0.005484673604535812,0.009676079408037028,0.04478391901317435,0.0009430497335035509,-0.024546060085305257,0.07462962725665546,0.019097627489134437,0.030639847471194095,-0.016329044093902487,-0.028235795892055663,-0.010810510420519826,0.01871308599553597,0.07315516675571967,-0.026858368694869177,0.08128696012057257,0.06279970047615706,-0.017789386437239468,0.019647375187873066,-0.044666816229076534,0.03112821985266375,-0.013709602082313872,-0.06942120445346639,-0.019640277284843684,-0.007900063099025294
rdkit_Kappa1,0.06337348338061125,0.057864502330886095,0.04200118237072389,0.014794921378611424,0.04687282248545207,0.04956389631956951,0.037138288004612906,0.007520734779432483,-0.028518544426793437,-0.009713106739001947,0.018520135466425655,-0.002268244474114733,-0.002144513147461734,0.03418023607463488,-0.0007748653717928779,0.00295532298748296,0.039521264184488814,-0.0009456425392011322,0.0015460438085358294,-0.0037032691766779717,-0.030659160336267362,-0.009747256030603972,-0.017135764157216682,0.002236841386273473,0.002227236243105141,0.027934804951864144,-0.014062357084286624,0.012069282125300637,-0.0037273548805299467,-0.010953745387526555,-0.0234705613979846,-0.015236017261130956,-0.007690489890313603,0.014053331213540582,-0.003286137005933979,-0.005899870326666908,0.020694752084605014,-0.0016847816590012115,-0.005255967120388033,-0.003723322136491938,0.0009740732262167439,-0.014788895841985615,-0.004458308845473591,0.019012260664084846,0.040549798828648696,-0.019056425379529996,-0.0286873954794418,-0.040939891977441176,0.01012257916638921,0.05001424812867927,0.02616570794321018,-0.028749425143506615,0.03203558212220728,-0.01683096742552346,-0.033574079152843855,0.023224106460013237,-0.019881149919094822,-0.022173861003951863,0.018625643283591325,-0.02137133136110058,0.014382868871497494
rdkit_Kappa2,0.058072722708480844,-0.05886342660168492,0.03530651133830934,0.029429800537579417,0.02813685483860453,0.04776824971963649,0.04502324226406587,-0.026110794265108664,0.03222280871293836,0.0029622410771482505,0.06237073425777309,0.015194330666273664,0.0026739989139123116,0.0570526960673568,-0.006925855700990363,0.007386483841899725,0.02309601930841101,0.002868181792958256,0.005242743714603246,0.01646711073519594,0.017059601359168026,0.05249675846783402,0.01446933334908561,0.0021275425749933004,-0.0026245353949724158,0.00398764844569133,-0.03456497847006626,0.04201552904937713,-0.026992289237796147,-0.01135147680752248,-0.031916910444162824,-0.019396727197336826,-0.029498375494657322,0.0349003388584354,0.026004665295683325,-0.0021371274538578926,-0.00011214802112951774,0.0020665771608407843,0.01492630864439554,0.02471324039560681,0.012349863470606019,0.0345194737729723,-0.007646803022430301,-0.0011423124840438342,-0.008640887060405623,0.005839594713077715,0.016678984757313584,0.02191009432490028,0.006560470569856171,-0.03379589353805008,0.018565318913440442,-0.048192055996597566,0.043570043925374766,0.04004606104258199,0.014037575428720087,0.013377790409375834,0.0014085750184028442,-0.0043971254791469894,-0.010861339390508165,-0.005894059743423066,0.048702804054953856
rdkit_Kappa3,0.06474717324729354,-0.05594368976988695,0.02434940490482073,0.040667094916019726,-0.010603987759323604,0.04569317758021996,0.05211878835300948,0.014120113429743973,0.011152659114688,-0.009184558657937813,0.04539778098055956,-0.007186244956089146,-0.021981452535904295,0.041806011767056936,-0.03204673733544976,0.003747516505003486,0.01732747351614562,-0.012354595763101517,0.007698838207683441,-0.016130352345252435,0.020217636714535744,0.013075281036984831,0.03192787336945824,0.013481521145982688,-0.008684658224356793,-0.038459999055057925,-0.012127585745301947,0.04566788030664453,-0.004933559446587877,-0.0019314473667422852,-0.00927029199882239,-0.05646940441665613,-0.03653217259061196,0.034622425602863896,0.03434032497572823,0.00847998086352042,0.010394302741150625,0.03572329153104361,-0.054446384623260395,0.029748390394320548,0.054748045988260816,0.032526315083466505,0.0046595044934063246,-0.007897137528124775,0.005896244960475147,0.013765700086274594,0.006065959417069583,0.03175563912040334,-0.0011549678326415699,-0.02007527609953612,-0.044466025502865915,0.057192506778046326,0.03840734816738669,0.029305318735429586,0.02052219010239359,0.007767063896410075,0.009466671057557274,0.012924020876036144,-0.029850858400693937,0.002101346863345701,0.06714676258535351
rdkit_PEOE_VSA1,0.03479891507099056,-0.033882268414977705,0.006264078789797533,-0.07042136858220943,0.018503205247407634,-0.015213424629391115,0.011224896517288623,0.01845936743954118,-0.007899099073938608,0.026991302290480683,-0.08224614881805974,-0.015587160219985408,0.02045673473535191,0.023217525974774823,-0.06230761847768946,0.10894093600634305,-0.0682403391617369,-0.0002209824721320354,-0.010274735836964328,-0.04056253818529995,-0.005431206720717009,-0.04537513075872226,0.0655390311928427,0.04195593186681251,0.00786796138155189,-0.08284949163274596,0.11906438319979865,0.09249829073566217,0.03158481808027317,-0.02410302472809973,0.0006663255844998955,0.04890924260308548,0.059146461458796866,-0.005764764388231487,0.10556889135503171,0.01476577569797186,-0.035090939936416946,-0.029635885304039104,-0.06378462886352745,0.004879039003871842,0.0007372196417910091,-0.030234460626484504,0.057969757159050464,-0.03997639966663625,-0.01582371649717703,0.06405001963998323,0.02795498538917386,-0.038430413006819056,0.04070755272703391,0.11122354196349186,0.07826278171594915,-0.007279971498087436,-0.0376367930396867,0.023905925317409222,0.033372236042826665,0.04354980414223897,-0.02006491914880651,0.0010890746640251645,-0.03074530635949152,0.002515282533108933,0.009165252321451111
rdkit_PEOE_VSA10,0.0719575052686338,0.019212955326042717,-0.026393133444740643,-0.0041798117702714155,-0.026217865681747582,0.057280110859633485,-0.06167198854395511,-0.04954725107052521,0.06584307578196565,0.04447477549445766,-0.14607619618416537,0.001436601587119184,0.01943627746369662,0.11773704231746568,-0.013351100317777151,0.027669780606252255,0.10656510547750557,-0.04124313598571234,-0.010461115139416896,0.055283668452398994,0.02667406402753305,0.01659837421419168,-0.16563837856196886,-0.0777006857453818,-0.04984153869734271,-0.06465021466743957,-0.09664930664505113,0.07508890449831163,-0.04611205820336359,-0.04551422371332276,0.09118156429551855,-0.10816620100145241,0.01523624011251041,-0.07176674798730992,0.19556697770004766,0.23707447514937185,0.1760683930255254,-0.015984236766444542,0.037936434668147265,-0.05740666933720287,-0.023100268907235204,-0.00725893779199207,0.06229736819400466,0.027634189166492868,-0.09567815511581022,-0.0027994763900796946,0.08486673631979225,-0.013758550962799126,-0.11840221821247258,0.1044203186247957,0.03688152973197657,0.03260314813965226,0.061019410316783464,0.05943420276891382,-0.03568090327728046,0.0634173501084979,-0.0437010495359806,0.029977950022155295,-0.0015809582793757104,0.02910608277347327,-0.015278125740696456
rdkit_PEOE_VSA11,0.012561497001233676,0.02389329398978197,-0.024587666103249337,0.05152429111009626,0.015986582965664846,-0.05165187608628384,0.03314737196596617,-0.04104604245334675,0.04636217156790898,0.0564099552686181,-0.0837359462311839,0.010697819363162369,0.11078470899915709,0.06137739872160133,0.08022735932764942,-0.11070330402567176,-0.11487758603934614,0.10637657684648891,-0.037551811450540866,0.1384635274246073,-0.12757218866988962,-0.03520043053161496,-0.015080849891202607,0.05929708538804762,0.05846860835228355,-0.06929132576721242,0.009818170167041243,-0.027531513802169897,-0.05182617081067385,0.06092708959291729,0.0074540835792382245,-0.036164538314526234,-0.10006205773677783,-0.02758050099531294,-0.012159371721407141,0.02543467123182206,0.10196157774162166,0.19440496234668242,-0.03165512117933919,-0.055070036673251506,-0.07759482039466262,0.11349513552103772,0.032928524197427124,-0.02201193197354353,0.06432525108943028,-0.040292787024119224,0.057292093556878025,0.011233933963279182,0.22021164944231064,0.004525797500808559,-0.06341403086276431,0.042421011662726764,-0.0698822185500021,-0.018908344054310456,-0.050319664448609136,-0.06239200192672433,-0.05276188836853268,-0.09881930372556826,-0.004380462063590294,0.019706628129702756,0.0013417931713718828
