Molecule ChEMBL ID,MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4535047,0.8881538461538463,0.6021923076923077,0.7930769230769231,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1,IC50,'=',360.0,nM,CHEMBL4411272, 
CHEMBL4451986,0.9178245614035088,0.7338070175438597,0.8757368421052631,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',52.0,nM,CHEMBL4411272, 
CHEMBL4460320,0.9078363636363636,0.6821272727272726,0.8441454545454544,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',18.0,nM,CHEMBL4411272, 
CHEMBL4445761,0.8875961538461539,0.6671730769230769,0.8293653846153846,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',998.0,nM,CHEMBL4411272, 
CHEMBL4439632,0.8972075471698113,0.7407358490566038,0.8632075471698114,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',10.0,nM,CHEMBL4411272, 
CHEMBL4583858,0.9078363636363636,0.7112909090909092,0.8391454545454546,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',203.0,nM,CHEMBL4411272, 
CHEMBL4445797,0.8968518518518517,0.6386481481481481,0.8251666666666668,CC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',16.0,nM,CHEMBL4411272, 
CHEMBL4441933,0.8972075471698113,0.7839622641509433,0.8792641509433964,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',33.0,nM,CHEMBL4411272, 
CHEMBL4557772,0.9002830188679247,0.7839622641509433,0.8792641509433964,C=C(F)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',6.0,nM,CHEMBL4411272, 
CHEMBL4472983,0.887596153846154,0.697230769230769,0.8438269230769231,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',388.0,nM,CHEMBL4411272, 
CHEMBL4553484,0.89888679245283,0.6666603773584906,0.8071320754716982,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccc(F)cc23)n1,IC50,'=',892.0,nM,CHEMBL4411272, 
CHEMBL4438905,0.9178245614035088,0.7188245614035088,0.8342982456140352,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,IC50,'=',397.0,nM,CHEMBL4411272, 
CHEMBL4470120,0.8768823529411764,0.5963529411764708,0.794137254901961,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',201.0,nM,CHEMBL4411272, 
CHEMBL4548960,0.9078363636363636,0.672290909090909,0.8245090909090911,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',8.0,nM,CHEMBL4411272, 
CHEMBL4776833,0.823,0.512,0.367,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)nc3c2CSCC3)c1,IC50,'=',638.4,nM,CHEMBL4725402, 
CHEMBL3786343,0.8338571428571429,0.4574285714285714,0.3464285714285715,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,IC50,'=',12.7,nM,CHEMBL4725402, 
CHEMBL4780534,0.823,0.512,0.367,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)cc3)nc3c2CSCC3)c1,IC50,'=',132.1,nM,CHEMBL4725402, 
CHEMBL5085118,0.838,0.4711904761904761,0.3784761904761904,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3nc(Nc4ccccc4OC)ncc3C)[nH]c12,IC50,'=',1.2,nM,CHEMBL5029169, 
CHEMBL5088102,0.8289310344827587,0.4416896551724138,0.3602758620689656,COc1ccccc1Nc1nccc(-c2cc3c([nH]2)C2(CCN(C(=O)C#CN(C)C)CC2)CNC3=O)n1,IC50,'=',2.8,nM,CHEMBL5029169, 
CHEMBL5077776,0.8337352941176471,0.5049705882352942,0.384235294117647,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC)n3)[nH]c12,IC50,'=',0.9,nM,CHEMBL5029169, 
CHEMBL5079430,0.8327692307692307,0.4672051282051282,0.3678461538461537,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC(C)C)n3)[nH]c12,IC50,'=',1.3,nM,CHEMBL5029169, 
CHEMBL5089073,0.8222727272727273,0.5062727272727272,0.3840909090909091,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC)c3)[nH]c12,IC50,'=',37.0,nM,CHEMBL5029169, 
CHEMBL5076067,0.8283750000000001,0.4649375,0.379875,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3nc(Nc4ccccc4OC)ncc3Cl)[nH]c12,IC50,'=',0.8,nM,CHEMBL5029169, 
CHEMBL5083976,0.815,0.351,0.18,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(-c4cccc(OC)c4)n3)[nH]c12,IC50,'=',9.6,nM,CHEMBL5029169, 
CHEMBL3663921,0.80525,0.58,0.337,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2CC)c1,IC50,'=',1.3,nM,CHEMBL3638445, 
CHEMBL3663922,0.8201538461538461,0.4670769230769231,0.3064615384615384,CCc1nc(C(N)=O)c(Nc2ccc(N3CCN(C)CC3)cc2)nc1Oc1cccc(NC(=O)/C=C/CN(C)C)c1,IC50,'=',1.4,nM,CHEMBL3638445, 
CHEMBL3663923,0.8135,0.5808,0.3242,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2CC)c1C,IC50,'=',1.1,nM,CHEMBL3638445, 
CHEMBL3663924,0.8214615384615385,0.5396923076923077,0.3373076923076923,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2C(C)C)c1,IC50,'=',1.5,nM,CHEMBL3638445, 
CHEMBL3663926,0.8214999999999999,0.587,0.3775,C=CC(=O)Nc1cccc(Oc2cnc(C(N)=O)c(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1,IC50,'=',0.92,nM,CHEMBL3638445, 
