Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4756020,,0.912,0.867,0.878,IC50,'=',0.95,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4208811, ,0.7746478873239436,0.23214285714285715,0.6052631578947368,Ki,'=',9.0,nM,CHEMBL4177539,C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4583545, ,0.7444444444444445,0.3963963963963964,0.9736842105263158,IC50,'=',990.0,nM,CHEMBL4312015,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4792967,,0.873,0.755,0.8,IC50,'=',0.17,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3986363, ,0.5921052631578947,0.26732673267326734,0.5789473684210527,IC50,'=',65.0,nM,CHEMBL3886183,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1
CHEMBL4279057, ,0.9420289855072463,0.7976190476190477,1.0,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)C1
CHEMBL5187169, ,0.5853658536585366,0.19130434782608696,0.5263157894736842,IC50,'=',9.1,nM,CHEMBL5096180,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(SCC(=O)N4CCOCC4)cc3)ncc2Cl)c1
CHEMBL3353409,,1.0,0.907,0.974,IC50,'=',1000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4293145, ,0.7837837837837838,0.6931818181818182,0.8157894736842105,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1
CHEMBL4566583,,0.968,0.884,0.973,IC50,'=',215.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCSC
CHEMBL4213741, ,0.7887323943661971,0.22321428571428573,0.6052631578947368,Ki,'=',164.0,nM,CHEMBL4177539,C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4536146,,0.953,0.884,0.973,IC50,'=',6600.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCNC
CHEMBL4067014,,0.984,1.0,1.0,IC50,'=',185.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(C)c4ccccc43)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4470120, ,0.8533333333333334,0.35344827586206895,0.9736842105263158,IC50,'=',201.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4087538,,0.954,0.93,0.974,IC50,'=',6.0,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4545086,,1.0,1.0,1.0,IC50,'=',2100.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4870265, ,0.5647058823529412,0.20535714285714285,0.6052631578947368,IC50,'=',117.5,nM,CHEMBL4831496,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(CN3CCC(C(=O)NO)CC3)cc2)ncc1Cl
