Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4127317,,0.826,0.582,0.234,IC50,'=',0.3,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4285217,,0.826,0.571,0.234,IC50,'=',0.6,nM,CHEMBL4425144,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4079861,,0.864,0.564,0.234,IC50,'=',2.4,nM,CHEMBL4000215,C=CC(=O)Nc1cc(C(C)C)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4097883,,0.851,0.544,0.231,IC50,'=',17.7,nM,CHEMBL4000215,C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc(C(C)(C)C)c1
CHEMBL4068047,,0.812,0.544,0.231,IC50,'=',2.0,nM,CHEMBL4000215,C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc(C(F)(F)F)c1
CHEMBL3754803,,0.818,0.564,0.23,Kd,'=',0.27,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4C)nc32)c1
CHEMBL3753305,,0.833,0.604,0.227,IC50,'=',21.0,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(-c3ccccc3)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3753235,,0.833,0.593,0.227,Kd,'=',0.5,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4129646,,0.803,0.561,0.227,IC50,'=',0.4,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1
CHEMBL4103194,,0.8,0.534,0.227,IC50,'=',1.6,nM,CHEMBL4000215,C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)C(C)C5)cc4OC)nc32)cc(C(F)(F)F)c1
CHEMBL2029436,,0.821,0.5,0.227,IC50,'=',0.46,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3753011,,0.848,0.611,0.224,Kd,'=',0.91,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3633145,,0.848,0.604,0.224,Kd,'=',0.5,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029438,,0.836,0.5,0.224,IC50,'=',0.7,nM,CHEMBL5120754,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4078914,,0.812,0.492,0.224,IC50,'=',3.3,nM,CHEMBL4000215,C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC(C)N(C)C(C)C5)cc4OC)nc32)cc(C(F)(F)F)c1
CHEMBL3087209,,0.812,0.472,0.224,IC50,'=',708.5,nM,CHEMBL3085739,C=CC(=O)NC1CCC(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)CC1
CHEMBL4288562,,0.824,0.564,0.219,IC50,'=',1.5,nM,CHEMBL4425144,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1
CHEMBL4128415,,0.8,0.582,0.214,IC50,'=',1.9,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(Cc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1
CHEMBL4290785,,0.826,0.571,0.214,IC50,'=',7.8,nM,CHEMBL4425144,C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1
CHEMBL4129607,,0.814,0.571,0.214,IC50,'=',14.0,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1
CHEMBL2029437,,0.821,0.519,0.214,IC50,'=',2.44,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc4ccccc4c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL3633146,,0.803,0.537,0.213,Kd,'=',0.16,nM,CHEMBL3751728,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1
CHEMBL4086000,,0.803,0.537,0.213,IC50,'=',1.4,nM,CHEMBL4000215,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)nc4)nc32)c1
CHEMBL4128567,,0.8,0.571,0.211,IC50,'=',1.0,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(CCc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1
CHEMBL4130016,,0.8,0.561,0.208,IC50,'=',1.4,nM,CHEMBL4118273,C=CC(=O)Nc1cccc(-n2c(=O)n(CCCc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1
CHEMBL2029439,,0.821,0.558,0.208,IC50,'=',1.67,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(-c4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029440,,0.809,0.5,0.205,IC50,'=',3.57,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(Oc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL2029441,,0.812,0.491,0.203,IC50,'=',2.42,nM,CHEMBL2029259,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(OCc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
CHEMBL4082515,,0.908,0.474,0.183,IC50,'=',4.2,nM,CHEMBL4000215,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4cnn(CCN(C)C)c4)nc32)c1
CHEMBL4064475,,0.809,0.509,0.177,IC50,'=',1.8,nM,CHEMBL4000215,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4cnn(C5CCN(C)CC5)c4)nc32)c1
CHEMBL3608433,,0.808,0.311,0.175,IC50,'=',6.0,nM,CHEMBL3608213,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C4CCN(C)C4)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F
