Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL4103912,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.07,nM,CHEMBL4411272,
CHEMBL4445761,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',998.0,nM,CHEMBL4411272,
CHEMBL4451986,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',52.0,nM,CHEMBL4411272,
CHEMBL4468034,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',177.0,nM,CHEMBL4411272,
CHEMBL4439632,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',10.0,nM,CHEMBL4411272,
CHEMBL4472983,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',388.0,nM,CHEMBL4411272,
CHEMBL4557005,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',93.0,nM,CHEMBL4411272,
CHEMBL4434924,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1,IC50,'=',38.0,nM,CHEMBL4411272,
CHEMBL4557772,C=C(F)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',6.0,nM,CHEMBL4411272,
CHEMBL4553484,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccc(F)cc23)n1,IC50,'=',892.0,nM,CHEMBL4411272,
CHEMBL4579805,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',923.0,nM,CHEMBL4411272,
CHEMBL4470120,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',201.0,nM,CHEMBL4411272,
CHEMBL4548960,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',8.0,nM,CHEMBL4411272,
CHEMBL3353406,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',25.0,nM,CHEMBL4411272,
CHEMBL4553685,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',37.0,nM,CHEMBL4411272,
CHEMBL4464589,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',7.5,nM,CHEMBL4411272,
CHEMBL4463634,C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',20.0,nM,CHEMBL4411272,
CHEMBL4551557,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',591.0,nM,CHEMBL4411272,
CHEMBL4441933,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',33.0,nM,CHEMBL4411272,
CHEMBL4647073,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccc(F)cc34)n2)c(OC)cc1F,IC50,'=',40.4,nM,CHEMBL4622942,
CHEMBL4642177,CCC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4c(CCO)cccc34)n2)c(OC)cc1F,IC50,'=',663.4,nM,CHEMBL4622942,
CHEMBL4645434,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,IC50,'>',1000.0,nM,CHEMBL4622942,
CHEMBL4640686,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCO)c4ccccc34)n2)c(OC)cc1F,IC50,'>',1000.0,nM,CHEMBL4622942,
CHEMBL4649261,COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,IC50,'=',15.3,nM,CHEMBL4622942,
CHEMBL4639459,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,IC50,'=',126.8,nM,CHEMBL4622942,
CHEMBL4641096,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',73.0,nM,CHEMBL4622942,
CHEMBL4800367,C=CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,IC50,'=',1.51,nM,CHEMBL4706705,
CHEMBL4745195,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.86,nM,CHEMBL4706705,
CHEMBL4744138,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C(C)=O)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.09,nM,CHEMBL4706705,
CHEMBL4747958,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',0.2,nM,CHEMBL4706705,
CHEMBL4790568,C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,IC50,'=',1.01,nM,CHEMBL4706705,
CHEMBL5175924,CC#CC(=O)Nc1ccc(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1,IC50,'=',220.0,nM,CHEMBL5096180,
CHEMBL5201387,C=CC(=O)Nc1ccc(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1,IC50,'=',180.0,nM,CHEMBL5096180,
CHEMBL4650319,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',25.0,nM,CHEMBL5257147,
CHEMBL4473887,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccc(F)cc23)n1,IC50,'>',2000.0,nM,CHEMBL4411272,
CHEMBL4456929,CC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'>',2000.0,nM,CHEMBL4411272,
CHEMBL4592314,COc1cc(N(C)CCN(C)C)c(NC(=O)C(Cl)=C(Cl)Cl)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,IC50,'>',2000.0,nM,CHEMBL4411272,
CHEMBL4458151,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'>',2000.0,nM,CHEMBL4411272,
CHEMBL4746995,Cn1cc(-c2ccnc(Nc3ccc(C(=O)NCCCCCCC(=O)NO)cc3)n2)c2ccccc21,IC50,'=',1200.0,nM,CHEMBL5137005,
CHEMBL5191956,COc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Nc1nccc(-c2cn(C)c3ccccc23)n1,IC50,'=',5000.0,nM,CHEMBL5214883,
CHEMBL5218998,Cn1cc(-c2ccnc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)n2)c2ccccc21,IC50,'=',1200.0,nM,CHEMBL5214883,
CHEMBL4072620,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-],IC50,'=',17.8,nM,CHEMBL4043110,
CHEMBL4079658,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-],IC50,'=',6.4,nM,CHEMBL4043110,
CHEMBL4087538,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',6.0,nM,CHEMBL4043110,
CHEMBL4066170,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-],IC50,'=',10.2,nM,CHEMBL4043110,
CHEMBL4094086,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',13.0,nM,CHEMBL4052618,
CHEMBL4441606,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,IC50,'=',4.0,nM,CHEMBL4376823,
CHEMBL4454745,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCCl,IC50,'=',122.0,nM,CHEMBL4376823,
CHEMBL4570333,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1SCCN(C)C,IC50,'=',11.0,nM,CHEMBL4376823,
CHEMBL4464879,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCO,IC50,'=',477.0,nM,CHEMBL4376823,
CHEMBL4447982,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[S+](C)[O-],IC50,'=',105.0,nM,CHEMBL4376823,
CHEMBL4592472,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1S(=O)(=O)CCN(C)C,IC50,'=',108.0,nM,CHEMBL4376823,
CHEMBL4566583,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCSC,IC50,'=',308.0,nM,CHEMBL4376823,
CHEMBL4741340,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1.7,nM,CHEMBL4732150,
CHEMBL2426287,COc1ccc(NC(=O)/C=C/CN(C)C)cc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,IC50,'=',53.0,nM,CHEMBL2424560,
CHEMBL2426281,C=CC(=O)Nc1cccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1,IC50,'=',81.0,nM,CHEMBL2424560,
CHEMBL2426282,C=CC(=O)Nc1ccc(OC)c(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1,IC50,'=',22.0,nM,CHEMBL2424560,
CHEMBL3353408,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',200.0,nM,CHEMBL3351341,
CHEMBL3353409,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',1000.0,nM,CHEMBL3351341,
CHEMBL3353411,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',33.0,nM,CHEMBL3785051,
CHEMBL3353412,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC,IC50,'=',786.0,nM,CHEMBL3785051,
CHEMBL2426283,C=CC(=O)Nc1ccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)cc1,IC50,'=',12900.0,nM,CHEMBL2424560,
CHEMBL2426285,COc1ccc(NC(=O)CC#N)cc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,IC50,'>',30000.0,nM,CHEMBL2424560,
CHEMBL3353407,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',58000.0,nM,CHEMBL3351341,
