,count,mean,std,min,25%,50%,75%,max,mean_all,std_all
rdkit_VSA_EState5,14.0,-5.764882016018755,0.7288006355647132,-7.311120721458801,-5.863929194099309,-5.468521796582957,-5.344457550337128,-5.101493962237301,-5.850198214849053,0.7022282909436021
rdkit_VSA_EState6,14.0,-11.348870956072018,1.8043144356110625,-14.94290160208196,-11.822843823454571,-10.724290653155954,-10.340853605066055,-9.000791774649018,-11.312169420633957,1.5998500064519716
rdkit_VSA_EState7,14.0,-4.76608563695443,2.5222986780643657,-9.901121465793278,-6.253581268731352,-4.364272143355267,-2.5318266272311565,-2.380351806328106,-4.814263883290945,2.743264857955403
rdkit_VSA_EState8,14.0,-25.451516836090075,6.30541644188359,-34.46396549976794,-29.264451963022747,-27.26076835229443,-24.506927063669274,-13.488272447409816,-25.38626771044578,6.295650051813939
rdkit_VSA_EState9,14.0,-3.9377795981492483,0.08158728460206659,-4.114380686643793,-3.9679228469003327,-3.9371444187220375,-3.889278454463984,-3.795376833030796,-4.580486683557101,1.6444184671919633
rdkit_FractionCSP3,14.0,0.2547124435785447,0.038963155957694354,0.1923076923076923,0.22969966629588429,0.25,0.2693965517241379,0.34375,0.25907710594723943,0.04119497604598921
rdkit_NOCount,14.0,9.285714285714286,0.9138735334633755,8.0,9.0,9.0,9.0,12.0,9.407407407407407,0.8883545402449344
rdkit_NumAliphaticHeterocycles,14.0,0.07142857142857142,0.26726124191242434,0.0,0.0,0.0,0.0,1.0,0.25925925925925924,0.5256931389634797
rdkit_NumHAcceptors,14.0,8.357142857142858,0.8418973861410957,8.0,8.0,8.0,8.0,11.0,8.444444444444445,0.8473185457363234
rdkit_NumHeteroatoms,14.0,9.571428571428571,0.8516306272526403,9.0,9.0,9.0,10.0,12.0,9.703703703703704,0.8234456132997966
rdkit_NumRotatableBonds,14.0,15.0,2.0754980866510833,10.0,14.25,15.0,15.75,19.0,14.74074074074074,2.280225909735744
rdkit_MolLogP,14.0,4.803237142857147,0.5759678411886532,3.9405000000000014,4.441625000000003,4.784100000000004,5.236575000000005,5.988520000000005,4.770820000000003,0.5091671670483093
rdkit_fr_NH0,14.0,5.071428571428571,0.9972489631508749,4.0,5.0,5.0,5.0,8.0,5.037037037037037,0.9397823594805784
rdkit_fr_Ndealkylation1,14.0,1.5714285714285714,0.7559289460184544,0.0,1.25,2.0,2.0,2.0,1.5925925925925926,0.7472647177570733
rdkit_fr_allylic_oxid,14.0,0.14285714285714285,0.3631365196012815,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.32025630761017426
rdkit_fr_aniline,14.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,3.962962962962963,0.19245008972987526
rdkit_fr_aryl_methyl,14.0,1.0,0.3922322702763681,0.0,1.0,1.0,1.0,2.0,1.1481481481481481,0.5337605126836238
rdkit_fr_bicyclic,14.0,1.0714285714285714,0.26726124191242434,1.0,1.0,1.0,1.0,2.0,0.9629629629629629,0.43690180920109606
rdkit_fr_ether,14.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.1111111111111112,0.3202563076101743
rdkit_fr_halogen,14.0,0.14285714285714285,0.3631365196012815,0.0,0.0,0.0,0.0,1.0,0.14814814814814814,0.36201399289824565
rdkit_fr_para_hydroxylation,14.0,0.9285714285714286,0.26726124191242434,0.0,1.0,1.0,1.0,1.0,0.9629629629629629,0.19245008972987523
rdkit_fr_sulfide,14.0,0.07142857142857142,0.26726124191242434,0.0,0.0,0.0,0.0,1.0,0.07407407407407407,0.2668802563418119
mordred_SpMax_A,14.0,2.4927300281261737,0.016691823538990097,2.4840471976008485,2.484083298397127,2.4842567300854865,2.492876079793553,2.53656394448763,2.497570385072048,0.020499942899309717
mordred_SpMAD_A,14.0,1.2876168470419578,0.014439784047000904,1.2621991347072894,1.2822762422443548,1.2834726869927628,1.3023653562218769,1.3078526859334283,1.2885481890526154,0.014677995085872801
mordred_VE1_A,14.0,4.525334434939334,0.15039430219679,4.208408332343812,4.4734646383300625,4.490988364501385,4.57752326388286,4.88970560072865,4.531397169114435,0.16913383590568626
mordred_VE2_A,14.0,0.11762950793642897,0.00605051551442227,0.1079079059575336,0.11297290202767579,0.1179648768006699,0.1213780639054428,0.1277621575831261,0.11702533023001828,0.006187596063199311
mordred_VE3_A,14.0,2.857231420417553,0.08632409729477916,2.7505261425495706,2.8104056229043684,2.8351684063845424,2.877391961368088,3.09120949410073,2.864851157404191,0.08431119180954096
mordred_nO,14.0,2.2142857142857144,0.42581531362632014,2.0,2.0,2.0,2.0,3.0,2.3703703703703702,0.5648790304908823
mordred_nS,14.0,0.14285714285714285,0.3631365196012815,0.0,0.0,0.0,0.0,1.0,0.14814814814814814,0.3620139928982457
mordred_nCl,14.0,0.07142857142857142,0.2672612419124244,0.0,0.0,0.0,0.0,1.0,0.07407407407407407,0.2668802563418119
mordred_ATS0dv,14.0,521.9541446208112,39.663553871794136,470.44444444444446,497.90123456790127,515.0,525.8271604938271,634.0,528.1426611796982,34.9397221389791
mordred_ATS1dv,14.0,546.4761904761905,46.10062549034453,504.0,520.5,537.0,549.75,685.0,551.559670781893,40.2218147200574
mordred_ATS0s,14.0,255.03677242629004,22.132877381590717,227.44787379972564,238.21527777777777,247.79166666666669,270.0277777777778,299.80555555555554,259.023537341555,24.895996636348926
mordred_ATS5s,14.0,544.8411473642956,39.9447441524711,489.62654320987656,517.1155692729767,533.4722222222224,568.7638888888891,637.0833333333333,546.2096606208405,37.32252060779201
mordred_ATS6s,14.0,566.7964677640606,39.2315976700096,508.4228395061728,542.0061728395065,563.8227023319616,591.1111111111113,648.6111111111112,568.3398999136311,37.97770417303388
mordred_ATS7s,14.0,586.5617773858515,51.51229193161749,513.0864197530865,557.6795267489715,572.5301783264747,608.1805555555559,707.1944444444445,590.977467865671,49.982053899694975
mordred_ATS0Z,14.0,1628.5714285714287,112.58208238758633,1450.0,1556.0,1603.0,1677.5,1842.0,1643.2592592592594,121.15869840597578
mordred_AATS0dv,14.0,7.271548988548418,0.46904688526601884,6.317073170731708,7.085714285714285,7.164745698079031,7.689968034225011,7.885714285714286,7.337167856356132,0.5416236289644286
mordred_AATS1dv,14.0,7.266352187904885,0.39699958997110274,6.458823529411765,7.050302437288739,7.2631441617742984,7.524102653025837,7.965116279069767,7.298771888169305,0.39026210069471645
mordred_AATS2dv,14.0,6.032375256740194,0.42896455881069107,5.163265306122449,5.7957786116322705,6.100760030156692,6.2565650935216155,6.794520547945205,6.07350291605531,0.44320004311961386
mordred_AATS3dv,14.0,5.256086919213667,0.3660066239633187,4.53932584269663,5.080658783783784,5.233980733980733,5.405382261600292,6.045977011494253,5.248046529612067,0.3543539646925482
mordred_AATS4dv,14.0,4.340170851076004,0.3096879509622012,3.808411214953271,4.122433574879227,4.315619712351946,4.477305059126879,4.911627906976745,4.353625736514548,0.39540865115671225
mordred_AATS5dv,14.0,4.248353198348933,0.271304446000528,3.880733944954129,4.070783962524111,4.184575547326154,4.382661394866477,4.9,4.264372035953189,0.3519764744634178
mordred_AATS6dv,14.0,4.062825376466477,0.35866689901656745,3.7149321266968327,3.847408756354807,3.949405927666797,4.213004754167418,5.0807174887892375,4.116733369405553,0.3480400591781656
mordred_AATS7dv,14.0,3.666219675931111,0.3933439592592216,3.253218884120172,3.387768778874123,3.498719214137996,3.9012037856824584,4.630252100840337,3.7426218863244807,0.41374522313395085
mordred_AATS0d,14.0,3.266091758194405,0.10320181202207945,3.0609756097560976,3.2142857142857144,3.284749034749035,3.3283582089552235,3.45679012345679,3.2881342573540486,0.10660949830372962
mordred_AATS3d,14.0,3.409962452590485,0.11334546932887404,3.157303370786517,3.3733108108108105,3.425337837837838,3.4699561002377903,3.5919540229885056,3.4200981079614015,0.09263393214668264
mordred_AATS4d,14.0,3.01376473792736,0.10677344374653074,2.8598130841121496,2.9307065217391304,2.9744088793035433,3.1066767068273093,3.1948051948051948,3.0219018266570115,0.10852686401355989
mordred_AATS5d,14.0,2.9157747723445104,0.07862262628887312,2.8374384236453203,2.8721491228070173,2.8990728854656966,2.92767146646457,3.159090909090909,2.9413165786716373,0.08628436610353384
mordred_AATS6d,14.0,2.873412621909025,0.12186370160852815,2.7905759162303663,2.8049945265462504,2.827100403570992,2.870153274148266,3.233183856502242,2.896652051489903,0.11101756260202286
mordred_AATS7d,14.0,2.687792727365706,0.13808380524236027,2.560185185185185,2.6050492409179165,2.6502319481213417,2.674792482195916,3.0588235294117645,2.71362244518891,0.13300751742762043
mordred_AATS8d,14.0,2.5665936339247857,0.1138016201911717,2.466666666666667,2.5,2.5180417140289197,2.5747281272738,2.874015748031496,2.587667262158589,0.11921060707658115
mordred_AATS0s,14.0,3.5622493026247404,0.3969199196704325,3.0768970189701896,3.3848491083676273,3.4003968253968253,3.667783272402837,4.346276606097188,3.615381657749007,0.5414981225236434
mordred_AATS1s,14.0,3.143811036311182,0.10544815769783022,2.939869281045752,3.1129155164481253,3.152587519025875,3.174881635757041,3.3632154882154883,3.13988750614973,0.1265962310742283
mordred_AATS3s,14.0,2.949180102419116,0.15241426085265267,2.690230961298377,2.86654981491938,2.936665832499166,3.008176390767035,3.2059569350257933,2.960148047669678,0.18324292998114408
mordred_AATS4s,14.0,2.6804010773553975,0.12820459541951304,2.4871495327102804,2.5877177298071024,2.6514488318244793,2.752023276165825,2.93145743145743,2.699889984679146,0.20480038467769485
mordred_AATS5s,14.0,2.7833371714850883,0.09693693837066478,2.6278851315083207,2.714740932989967,2.759589707026187,2.841440253197917,2.980344379467186,2.7854875850059244,0.19634040441418257
mordred_AATS8s,14.0,2.800340825939719,0.1518582573728949,2.5956662056247124,2.6931668940048152,2.760895680326403,2.855454440186956,3.143970189701897,2.8162093169747235,0.19738608260079812
mordred_AATS0Z,14.0,22.714377113918886,1.79759651804455,20.29268292682927,21.6,22.336231884057973,22.94761904761905,26.029850746268657,22.822584819160493,1.7929543401339276
mordred_AATS3Z,14.0,19.65585247430596,1.0414705983849728,17.651685393258425,18.971579391891893,19.547423199597112,20.54445091602245,21.155405405405407,19.680371832328124,0.9141832503641538
mordred_AATS4Z,14.0,16.907909842637075,0.9507993297538265,15.532710280373832,16.264769655327775,16.728713768115945,17.434795247724974,18.47590361445783,16.92536340220224,0.991222678851744
mordred_AATS5Z,14.0,16.777241168892644,0.5966905372444933,15.990825688073397,16.267028985507245,16.60804998197765,17.203476623495913,17.752747252747252,16.8160981643777,0.8288390241990292
mordred_AATS7Z,14.0,15.930851826627217,1.079158023255964,14.539170506912445,14.980828017012229,15.842158442995645,16.900351515912373,17.932773109243698,16.08883976776366,1.089817691118765
mordred_AATS0v,14.0,217.84519076996807,5.6694627943267095,206.86530663569744,214.5745368811776,218.76428309912723,221.99281116293957,225.1047350028071,218.09308881048142,5.690334889442857
mordred_AATS3v,14.0,212.00548148207457,6.346460036726726,198.8514124065275,208.36367884613892,213.26636451318893,216.16952722293576,220.41239240388217,211.8893253511607,5.217453587625389
mordred_AATS5v,14.0,179.09244205087444,3.537844374315421,174.24384488327135,176.92328712612314,178.22524400016886,181.51441386140473,186.7779879840449,179.818479417904,5.427043895399994
mordred_AATS6v,14.0,180.10705223743784,5.0118502842799,173.8675587363294,176.9296128891564,179.510270304352,181.66528244419757,194.46942616314595,181.00377177585426,4.557754083846545
mordred_AATS7v,14.0,171.9367355196508,7.625432242000123,163.86082093782534,165.6812330513693,171.2144869526523,174.12703848354334,189.9822803337908,172.89453886451338,7.331600596562809
mordred_AATS8v,14.0,161.71871469841048,6.106196483287512,154.69412246384184,156.8804937051079,161.5520760713933,163.8295378429341,176.34970203814623,162.6341531026221,6.418921218119604
mordred_AATS3se,14.0,7.714811378816334,0.05824882845038235,7.604789191011235,7.689170805690783,7.709334342905403,7.758526740292015,7.803428154929576,7.721136251990743,0.06713600662494427
mordred_AATS5se,14.0,7.648784474536131,0.03651174119316038,7.588812444444445,7.623834700000001,7.644693169370438,7.661665543198179,7.736148945454546,7.645439586247537,0.047841587602819036
mordred_AATS6se,14.0,7.703619834290836,0.036557751113930795,7.645538840579709,7.677322324607328,7.693901933937791,7.7395950236504785,7.758893005235601,7.706188084201194,0.04149469376981248
mordred_AATS7se,14.0,7.713443713698443,0.06147168076326728,7.6359946728110595,7.664179715736042,7.702727093216813,7.7633157186489985,7.837178773006134,7.715614024155177,0.06677700686493082
mordred_AATS8se,14.0,7.597902508582934,0.051586624146018875,7.53042275598086,7.558195481392717,7.594682058250276,7.628613282618934,7.694023464566929,7.612407873084141,0.06717116839061538
mordred_AATS0p,14.0,1.4930428493895185,0.05056965514188944,1.4296382573025488,1.463100870448289,1.483607784860486,1.5101034028066438,1.5999256840222726,1.4929416075057573,0.047843430582993916
mordred_AATS1p,14.0,1.767750138985925,0.04203179854809276,1.7245245520259742,1.7380044175000005,1.7633557883348243,1.7744425991962895,1.8596000754285715,1.768916654947392,0.04582089292848639
