,0
mordred_ETA_epsilon_3,0.1866031841277885
mordred_AATS4Z,0.18590368829338827
mordred_ATSC5v,0.18474252096856547
mordred_AATSC1dv,0.17943501314611587
mordred_AATS0p,0.17861691557153717
mordred_GATS8d,0.17861519439766965
rdkit_MaxAbsEStateIndex,0.17840273869970524
mordred_ATSC2v,0.17836631106330741
mordred_ATSC3dv,0.17747329251282862
rdkit_PEOE_VSA4,0.1756547367519557
mordred_ATSC0p,0.17557700736937767
mordred_C2SP2,0.17485950025878647
mordred_GATS1se,0.168943413359103
rdkit_EState_VSA2,0.16742725809256487
mordred_AATS5i,0.16685798686637981
rdkit_MolLogP,0.16294273896766095
mordred_AETA_eta_RL,0.1622667035863374
mordred_AMID_h,0.15795331873577714
mordred_ATSC3s,0.15588162078428183
